system:time_start,B1,B2,B1_interpolate,B2_interpolate
2018-02-04,0.4829,0.3655,0.4829,0.3655
2018-02-05,,,0.5699000000000001,0.44225000000000003
2018-02-06,0.6569,0.519,0.6569,0.519
2018-02-07,,,0.6095333333333334,0.4796833333333333
2018-02-08,,,0.6293500000000001,0.4984
2018-02-09,0.6018,0.4778,0.6018,0.4778
2018-02-10,,,0.6233,0.5103500000000001
2018-02-11,,,0.6356333333333333,0.5267000000000001
2018-02-12,0.6448,0.5429,0.6448,0.5429
2018-02-13,,,0.6603,0.5594
2018-02-14,0.6758,0.5759,0.6758,0.5759
2018-02-15,,,0.6811037037037037,0.5826944444444444
2018-02-16,,,0.6758,0.5759
2018-02-17,,,0.732,0.6403
2018-02-18,,,0.6941,0.6081
2018-02-19,,,0.6778814814814814,0.5896037037037037
2018-02-20,0.7882,0.7047,0.7882,0.7047
2018-02-21,0.6941,0.6081,0.6941,0.6081
2018-02-22,,,0.6941,0.6081
2018-02-23,,,0.6556333333333333,0.5776333333333333
2018-02-24,0.4912,0.4077,0.4912,0.4077
2018-02-25,0.7816,0.7171,0.7816,0.7171
2018-02-26,,,0.7116,0.6433
2018-02-27,,,0.7474999999999999,0.6790666666666666
2018-02-28,0.7116,0.6433,0.7116,0.6433
2018-03-01,0.7493,0.6768,0.7493,0.6768
2018-03-02,,,0.7493,0.6790666666666666
2018-03-03,,,0.7547295454545455,0.6846712121212121
2018-03-04,,,0.7493,0.6790666666666666
2018-03-05,,,0.76325,0.6913
2018-03-06,,,0.76325,0.6913
2018-03-07,,,0.7702249999999999,0.69855
2018-03-08,,,0.7772,0.7058
2018-03-09,0.7772,0.7058,0.7772,0.7058
2018-03-10,,,0.7772,0.7058
2018-03-11,,,0.7859,0.71415
2018-03-12,,,0.7946,0.7224999999999999
2018-03-13,,,0.7946,0.7224999999999999
2018-03-14,,,0.8033,0.73085
2018-03-15,,,0.803587,0.7327154285714286
2018-03-16,,,0.80765,0.735025
2018-03-17,0.812,0.7392,0.812,0.7392
2018-03-18,,,0.8242,0.7578
2018-03-19,,,0.8306500000000001,0.7588999999999999
2018-03-20,,,0.8297,0.7638
2018-03-21,,,0.8307200000000001,0.7636542857142857
2018-03-22,0.8493,0.7786,0.8493,0.7786
2018-03-23,0.8297,0.7638,0.8297,0.7638
2018-03-24,0.8187,0.7567,0.8187,0.7567
2018-03-25,,,0.8449899999999999,0.78458
2018-03-26,,,0.84865,0.7935000000000001
2018-03-27,,,0.8591300000000001,0.8020100000000001
2018-03-28,0.8786,0.8303,0.8786,0.8303
2018-03-29,,,0.8761000000000001,0.81995
2018-03-30,0.8736,0.8096,0.8736,0.8096
2018-03-31,,,0.8604366666666667,0.802578888888889
2018-04-01,,,0.8736,0.8096
2018-04-02,,,0.85535,0.7940499999999999
2018-04-03,,,0.8418,0.7857
2018-04-04,,,0.8552666666666667,0.7958611111111112
2018-04-05,0.8371,0.7785,0.8371,0.7785
2018-04-06,,,0.83945,0.7821
2018-04-07,,,0.8418,0.7857
2018-04-08,0.8418,0.7857,0.8418,0.7857
2018-04-09,0.8929,0.8318,0.8929,0.8318
2018-04-10,,,0.88585,0.81975
2018-04-11,0.8788,0.8077,0.8788,0.8077
2018-04-12,0.8735,0.8069,0.8735,0.8069
2018-04-13,,,0.8735,0.8069
2018-04-14,,,0.8615333333333334,0.7985666666666668
2018-04-15,0.8515,0.7916,0.8515,0.7916
2018-04-16,0.8596,0.7972,0.8596,0.7972
2018-04-17,,,0.8595,0.7972
2018-04-18,,,0.8621333333333334,0.8019333333333334
2018-04-19,0.8595,0.8038,0.8595,0.8038
2018-04-20,0.8673,0.8048,0.8673,0.8048
2018-04-21,0.8733,0.8116,0.8733,0.8116
2018-04-22,0.875,0.8014,0.875,0.8014
2018-04-23,,,0.8875500000000001,0.8173
2018-04-24,0.9001,0.8332,0.9001,0.8332
2018-04-25,,,0.8826,0.8233
2018-04-26,0.8651,0.8134,0.8651,0.8134
2018-04-27,0.8772,0.8097,0.8772,0.8097
2018-04-28,,,0.8748,0.81075
2018-04-29,0.8724,0.8118,0.8724,0.8118
2018-04-30,,,0.8866499999999999,0.82185
2018-05-01,0.9009,0.8319,0.9009,0.8319
2018-05-02,,,0.89085,0.8235833333333332
2018-05-03,,,0.8931,0.8286
2018-05-04,0.885,0.817,0.885,0.817
2018-05-05,0.8931,0.8286,0.8931,0.8286
2018-05-06,0.9058,0.8338,0.9058,0.8338
2018-05-07,,,0.8914,0.8257333333333333
2018-05-08,,,0.8914,0.8257333333333333
2018-05-09,,,0.887,0.8233999999999999
2018-05-10,,,0.890747142857143,0.8252604761904763
2018-05-11,0.8753,0.8148,0.8753,0.8148
2018-05-12,,,0.887,0.8233999999999999
2018-05-13,0.8987,0.832,0.8987,0.832
2018-05-14,,,0.89003,0.82369
2018-05-15,,,0.89595,0.82675
2018-05-16,,,0.8897700000000001,0.8245099999999999
2018-05-17,0.8932,0.8215,0.8932,0.8215
2018-05-18,0.8786,0.8177,0.8786,0.8177
2018-05-19,0.8824,0.8246,0.8824,0.8246
2018-05-20,,,0.8905544444444445,0.8249
2018-05-21,,,0.8902,0.82315
2018-05-22,,,0.88848,0.82173
2018-05-23,,,0.8902,0.82315
2018-05-24,,,0.9063599999999999,0.84047
2018-05-25,,,0.9048,0.84047
2018-05-26,,,0.9093622222222222,0.8443911111111111
2018-05-27,0.898,0.8217,0.898,0.8217
2018-05-28,0.9564,0.8835,0.9564,0.8835
2018-05-29,,,0.9048,0.8494
2018-05-30,,,0.9306000000000001,0.8664499999999999
2018-05-31,0.9048,0.8494,0.9048,0.8494
2018-06-01,,,0.9046200000000001,0.84372
2018-06-02,,,0.8959,0.83425
2018-06-03,,,0.90618,0.8347100000000001
2018-06-04,0.887,0.8191,0.887,0.8191
2018-06-05,0.9255,0.8359,0.9255,0.8359
2018-06-06,0.9177,0.8349,0.9177,0.8349
2018-06-07,,,0.8239,0.7265999999999999
2018-06-08,0.7301,0.6183,0.7301,0.6183
2018-06-09,0.7622,0.6262,0.7622,0.6262
2018-06-10,,,0.7301,0.6183
2018-06-11,,,0.5085500000000001,0.43605
2018-06-12,,,0.2549,0.2459
2018-06-13,0.2549,0.2459,0.2549,0.2459
2018-06-14,,,0.164,0.16275
2018-06-15,,,0.13741666666666666,0.14033333333333334
2018-06-16,0.0731,0.0796,0.0731,0.0796
2018-06-17,,,0.08424999999999999,0.0955
2018-06-18,0.0954,0.1114,0.0954,0.1114
2018-06-19,,,0.0905,0.13175
2018-06-20,0.0856,0.1521,0.0856,0.1521
2018-06-21,,,0.08904999999999999,0.16355
2018-06-22,0.0925,0.175,0.0925,0.175
2018-06-23,0.1225,0.1888,0.1225,0.1888
2018-06-24,,,0.0925,0.17485
2018-06-25,,,0.1043,0.17485
2018-06-26,,,0.1043,0.1658
2018-06-27,0.0861,0.1609,0.0861,0.1609
2018-06-28,0.1121,0.1658,0.1121,0.1658
2018-06-29,,,0.09489999999999998,0.16196666666666668
2018-06-30,,,0.104,0.1658
2018-07-01,0.0865,0.1592,0.0865,0.1592
2018-07-02,0.104,0.1727,0.104,0.1727
2018-07-03,0.1086,0.1903,0.1086,0.1903
2018-07-04,,,0.1086,0.1903
2018-07-05,,,0.13448333333333332,0.21555
2018-07-06,0.151,0.2365,0.151,0.2365
2018-07-07,,,0.14384999999999998,0.21985
2018-07-08,0.1367,0.2032,0.1367,0.2032
2018-07-09,,,0.11321666666666665,0.19851666666666667
2018-07-10,,,0.09789999999999999,0.18785
2018-07-11,0.0591,0.1725,0.0591,0.1725
2018-07-12,,,0.10405,0.1828
2018-07-13,,,0.0939,0.18059999999999998
2018-07-14,0.149,0.1931,0.149,0.1931
2018-07-15,0.0736,0.1762,0.0736,0.1762
2018-07-16,,,0.06345,0.17504999999999998
2018-07-17,0.0533,0.1739,0.0533,0.1739
2018-07-18,0.0626,0.1809,0.0626,0.1809
2018-07-19,0.2273,0.2634,0.2273,0.2634
2018-07-20,0.104,0.229,0.104,0.229
2018-07-21,0.0719,0.2325,0.0719,0.2325
2018-07-22,0.0988,0.1908,0.0988,0.1908
2018-07-23,,,0.10339999999999999,0.20315
2018-07-24,0.108,0.2155,0.108,0.2155
2018-07-25,0.1174,0.2026,0.1174,0.2026
2018-07-26,0.0788,0.1951,0.0788,0.1951
2018-07-27,,,0.08973333333333333,0.19463333333333332
2018-07-28,,,0.073,0.1862
2018-07-29,0.073,0.1862,0.073,0.1862
2018-07-30,0.0595,0.1851,0.0595,0.1851
2018-07-31,0.0588,0.191,0.0588,0.191
2018-08-01,,,0.073,0.191
2018-08-02,,,0.08835,0.24245
2018-08-03,,,0.08835,0.2384
2018-08-04,0.1179,0.2939,0.1179,0.2939
2018-08-05,0.025,0.0874,0.025,0.0874
2018-08-06,0.1528,0.2384,0.1528,0.2384
2018-08-07,,,0.10575,0.2172
2018-08-08,0.0587,0.196,0.0587,0.196
2018-08-09,,,0.0878,0.2172
2018-08-10,,,0.08511428571428571,0.19670714285714283
