system:time_start,B1
"Feb 2, 2017",0.044
"Feb 5, 2017",0.822
"Feb 7, 2017",0.908
"Feb 8, 2017",0.898
"Feb 9, 2017",0.714
"Feb 10, 2017",0.817
"Feb 13, 2017",0.699
"Feb 20, 2017",0.81
"Feb 26, 2017",0.834
"Feb 27, 2017",0.817
"Mar 9, 2017",0.522
"Mar 10, 2017",0.848
"Mar 11, 2017",0.888
"Mar 12, 2017",0.854
"Mar 14, 2017",0.516
"Mar 21, 2017",0.888
"Mar 24, 2017",0.903
"Mar 25, 2017",0.907
"Mar 26, 2017",0.855
"Mar 27, 2017",0.893
"Mar 28, 2017",0.907
"Mar 29, 2017",0.91
"Mar 30, 2017",0.695
"Apr 2, 2017",0.756
"Apr 10, 2017",1.072
"Apr 12, 2017",0.914
"Apr 14, 2017",0.933
"Apr 15, 2017",0.929
"Apr 16, 2017",0.905
"Apr 17, 2017",0.902
"Apr 23, 2017",0.934
"Apr 26, 2017",0.907
"May 2, 2017",0.689
"May 3, 2017",0.925
"May 4, 2017",0.914
"May 4, 2017",0.927
"May 5, 2017",0.935
"May 9, 2017",0.915
"May 10, 2017",0.854
"May 11, 2017",1.004
"May 12, 2017",0.939
"May 14, 2017",0.922
"May 15, 2017",0.875
"May 18, 2017",0.863
"May 19, 2017",0.511
"May 22, 2017",0.479
"May 27, 2017",0.635
"May 30, 2017",0.329
"Jun 2, 2017",0.362
"Jun 3, 2017",0.16
"Jun 7, 2017",0.364
"Jun 8, 2017",0.373
"Jun 9, 2017",0.371
"Jun 13, 2017",0.334
"Jun 15, 2017",0.309
"Jun 17, 2017",0.396
"Jun 18, 2017",0.59
"Jun 19, 2017",0.419
"Jun 21, 2017",0.406
"Jun 21, 2017",0.491
"Jun 21, 2017",0.48
"Jun 22, 2017",0.389
"Jun 23, 2017",0.391
"Jun 24, 2017",0.39
"Jun 26, 2017",0.34
"Jun 27, 2017",0.33
"Jun 28, 2017",0.297
"Jun 28, 2017",0.375
"Jun 29, 2017",0.275
"Jun 30, 2017",0.311
"Jun 30, 2017",0.427
"Jun 30, 2017",0.418
"Jul 1, 2017",0.262
"Jul 2, 2017",0.269
"Jul 3, 2017",0.218
"Jul 4, 2017",0.183
"Jul 5, 2017",0.228
"Jul 6, 2017",0.109
"Jul 10, 2017",-0.01
"Jul 11, 2017",-0
"Jul 12, 2017",0.003
"Jul 13, 2017",0.037
"Jul 14, 2017",0.135
"Jul 19, 2017",0.004
"Jul 20, 2017",0.001
"Jul 21, 2017",0.002
"Jul 22, 2017",0.074
"Jul 24, 2017",0.059
"Jul 25, 2017",0.002
"Jul 27, 2017",0.064
"Jul 28, 2017",0.039
"Jul 29, 2017",0.058
"Jul 30, 2017",0.018
"Jul 31, 2017",0.001
"Aug 1, 2017",0.001
"Aug 1, 2017",0.154
"Aug 1, 2017",0.149
"Aug 6, 2017",-0.002
"Aug 9, 2017",0.016
"Aug 10, 2017",0.093
"Aug 11, 2017",-0
"Aug 12, 2017",0.001
"Aug 15, 2017",0.237
"Aug 15, 2017",0.245
"Aug 20, 2017",0.089
"Aug 22, 2017",-0.003
"Aug 24, 2017",0.003
"Aug 27, 2017",0.021
"Sep 2, 2017",-0.004
"Sep 3, 2017",-0.003
"Sep 9, 2017",0.203
"Sep 9, 2017",0.194
"Sep 17, 2017",0.255
"Sep 27, 2017",0.007
"Sep 28, 2017",0.025
"Oct 6, 2017",0.016
"Oct 20, 2017",0.278
"Nov 3, 2017",0.553
"Nov 5, 2017",0.619
"Feb 6, 2018",0.867
"Feb 7, 2018",0.52
"Feb 9, 2018",0.659
"Feb 12, 2018",0.733
"Feb 14, 2018",0.819
"Feb 15, 2018",0.799
"Feb 17, 2018",0.814
"Feb 19, 2018",0.751
"Feb 20, 2018",0.548
"Feb 22, 2018",0.85
"Feb 24, 2018",0.567
"Feb 27, 2018",0.452
"Feb 28, 2018",0.68
"Mar 1, 2018",0.851
"Mar 2, 2018",0.856
"Mar 4, 2018",0.898
"Mar 8, 2018",0.756
"Mar 9, 2018",0.875
"Mar 11, 2018",0.901
"Mar 12, 2018",0.697
"Mar 17, 2018",0.892
"Mar 20, 2018",0.822
"Mar 21, 2018",0.821
"Mar 22, 2018",0.887
"Mar 23, 2018",0.871
"Mar 27, 2018",0.932
"Mar 31, 2018",0.873
"Apr 4, 2018",0.788
"Apr 5, 2018",0.895
"Apr 5, 2018",0.853
"Apr 9, 2018",0.833
"Apr 10, 2018",0.641
"Apr 12, 2018",0.891
"Apr 12, 2018",0.91
"Apr 15, 2018",0.91
"Apr 16, 2018",0.928
