system:time_start,B1,B1_interpolate
2017-02-05,8053.0,8053.0
2017-02-06,,7984.0
2017-02-07,7915.0,7915.0
2017-02-08,,7969.666666666667
2017-02-09,,8024.333333333333
2017-02-10,8079.0,8079.0
2017-02-11,,8012.3
2017-02-12,,7945.6
2017-02-13,,7878.9
2017-02-14,,
2017-02-15,,
2017-02-16,,
2017-02-17,,7612.1
2017-02-18,,7545.4
2017-02-19,,7478.7
2017-02-20,7412.0,7412.0
2017-02-21,,7604.833333333333
2017-02-22,,7797.666666666667
2017-02-23,,7990.5
2017-02-24,,8183.333333333333
2017-02-25,,8376.166666666666
2017-02-26,8569.0,8569.0
2017-02-27,8211.0,8211.0
2017-02-28,,7889.7
2017-03-01,,7568.4
2017-03-02,,7247.1
2017-03-03,,
2017-03-04,,
2017-03-05,,
2017-03-06,,5961.9
2017-03-07,,5640.6
2017-03-08,,5319.299999999999
2017-03-09,4998.0,4998.0
2017-03-10,8606.0,8606.0
2017-03-11,8841.0,8841.0
2017-03-12,8658.0,8658.0
2017-03-13,,7337.5
2017-03-14,6017.0,6017.0
2017-03-15,,6452.285714285715
2017-03-16,,6887.571428571428
2017-03-17,,7322.857142857143
2017-03-18,,7758.142857142857
2017-03-19,,8193.428571428572
2017-03-20,,8628.714285714286
2017-03-21,9064.0,9064.0
2017-03-22,,9086.666666666666
2017-03-23,,9109.333333333334
2017-03-24,9132.0,9132.0
2017-03-25,8329.0,8329.0
2017-03-26,,8666.0
2017-03-27,9003.0,9003.0
2017-03-28,9084.0,9084.0
2017-03-29,9067.0,9067.0
2017-03-30,7234.0,7234.0
2017-03-31,,7400.0
2017-04-01,,7566.0
2017-04-02,7732.0,7732.0
2017-04-03,,7439.875
2017-04-04,,7147.75
2017-04-05,,6855.625
2017-04-06,,
2017-04-07,,6271.375
2017-04-08,,5979.25
2017-04-09,,5687.125
2017-04-10,5395.0,5395.0
2017-04-11,,7262.5
2017-04-12,9130.0,9130.0
2017-04-13,,9203.5
2017-04-14,9277.0,9277.0
2017-04-15,9211.0,9211.0
2017-04-16,9062.0,9062.0
2017-04-17,9128.0,9128.0
2017-04-18,,9121.333333333334
2017-04-19,,9114.666666666666
2017-04-20,,9108.0
2017-04-21,,
2017-04-22,,
2017-04-23,,9088.0
2017-04-24,,9081.333333333334
2017-04-25,,9074.666666666666
2017-04-26,9068.0,9068.0
2017-04-27,,9133.5
2017-04-28,9199.0,9199.0
2017-04-29,8847.0,8847.0
2017-04-30,,8941.0
2017-05-01,,9035.0
2017-05-02,,9129.0
2017-05-03,9223.0,9223.0
2017-05-04,9120.0,9120.0
2017-05-05,,9127.0
2017-05-06,,9134.0
2017-05-07,,9141.0
2017-05-08,,9148.0
2017-05-09,9155.0,9155.0
2017-05-10,8632.0,8632.0
2017-05-11,,8932.0
2017-05-12,9232.0,9232.0
2017-05-13,,9097.5
2017-05-14,8963.0,8963.0
2017-05-15,8722.0,8722.0
