system:time_start,B1,B1_interpolate
2017-02-05,8053.0,8053.0
2017-02-06,,7984.0
2017-02-07,7915.0,7915.0
2017-02-08,,7997.0
2017-02-09,,7997.0
2017-02-10,8079.0,8079.0
2017-02-11,,7997.0
2017-02-12,,7997.0
2017-02-13,,7997.0
2017-02-14,,7997.0
2017-02-15,,7997.0
2017-02-16,,7990.5
2017-02-17,,7990.5
2017-02-18,,7990.5
2017-02-19,,7993.75
2017-02-20,7412.0,7412.0
2017-02-21,,7990.5
2017-02-22,,8100.75
2017-02-23,,7990.5
2017-02-24,,8211.0
2017-02-25,,8211.0
2017-02-26,8569.0,8569.0
2017-02-27,8211.0,8211.0
2017-02-28,,8211.0
2017-03-01,,8211.0
2017-03-02,,8211.0
2017-03-03,,8211.0
2017-03-04,,8211.0
2017-03-05,,8211.0
2017-03-06,,8211.0
2017-03-07,,8606.0
2017-03-08,,8408.5
2017-03-09,4998.0,4998.0
2017-03-10,8606.0,8606.0
2017-03-11,8841.0,8841.0
2017-03-12,8658.0,8658.0
2017-03-13,,8658.0
2017-03-14,6017.0,6017.0
2017-03-15,,8632.0
2017-03-16,,8658.0
2017-03-17,,8658.0
2017-03-18,,7540.5
2017-03-19,,9064.0
2017-03-20,,9098.0
2017-03-21,9064.0,9064.0
2017-03-22,,9098.0
2017-03-23,,9098.0
2017-03-24,9132.0,9132.0
2017-03-25,8329.0,8329.0
2017-03-26,,9003.0
2017-03-27,9003.0,9003.0
2017-03-28,9084.0,9084.0
2017-03-29,9067.0,9067.0
2017-03-30,7234.0,7234.0
2017-03-31,,7732.0
2017-04-01,,7483.0
2017-04-02,7732.0,7732.0
2017-04-03,,7607.5
2017-04-04,,7483.0
2017-04-05,,7483.0
2017-04-06,,7483.0
2017-04-07,,7262.5
2017-04-08,,7483.0
2017-04-09,,7483.0
2017-04-10,5395.0,5395.0
2017-04-11,,7262.5
2017-04-12,9130.0,9130.0
2017-04-13,,9203.5
2017-04-14,9277.0,9277.0
2017-04-15,9211.0,9211.0
2017-04-16,9062.0,9062.0
2017-04-17,9128.0,9128.0
2017-04-18,,9130.0
2017-04-19,,9165.75
2017-04-20,,9128.0
2017-04-21,,9098.0
2017-04-22,,9098.0
2017-04-23,,9128.0
2017-04-24,,9098.0
2017-04-25,,9115.75
2017-04-26,9068.0,9068.0
2017-04-27,,9133.5
2017-04-28,9199.0,9199.0
2017-04-29,8847.0,8847.0
2017-04-30,,9133.5
2017-05-01,,9199.0
2017-05-02,,9120.0
2017-05-03,9223.0,9223.0
2017-05-04,9120.0,9120.0
2017-05-05,,9137.5
2017-05-06,,9137.5
2017-05-07,,9137.5
2017-05-08,,9137.5
2017-05-09,9155.0,9155.0
2017-05-10,8632.0,8632.0
2017-05-11,,9155.0
2017-05-12,9232.0,9232.0
2017-05-13,,9097.5
2017-05-14,8963.0,8963.0
2017-05-15,8722.0,8722.0
2017-05-16,9171.0,9171.0
