system:time_start,B1,B2,B1_interpolate,B2_interpolate,B1_interpolate_phenology,B2_interpolate_phenology
2016-02-06,0.9393,0.7691,0.9393,0.7691,,
2016-02-07,0.8438,0.7091,0.8438,0.7091,,
2016-02-08,,,0.8465,0.7418,,
2016-02-09,,,0.8504999999999999,0.7353999999999999,,
2016-02-10,0.8465,0.7418,0.8465,0.7418,,
2016-02-11,0.8612,0.7553,0.8612,0.7553,,
2016-02-12,0.5884,0.4675,0.5884,0.4675,,
2016-02-13,0.8743,0.7944,0.8743,0.7944,,
2016-02-14,0.8222,0.7406,0.8222,0.7406,,
2016-02-15,,,0.8338000000000001,0.75895,,
2016-02-16,0.8454,0.7773,0.8454,0.7773,,
2016-02-17,,,0.8302704093389248,0.7483162095846863,,
2016-02-18,,,0.8394309523809523,0.7649428571428571,,
2016-02-19,,,0.8202541125541125,0.7396077922077922,,
2016-02-20,,,0.8383333333333333,0.7739,,
2016-02-21,,,0.8397619047619047,0.7709357142857144,,
2016-02-22,,,0.8338000000000001,0.7739,,
2016-02-23,,,0.8383333333333333,0.7775,,
2016-02-24,,,0.8391,0.7775,,
2016-02-25,,,0.8499887716450215,0.7895012581168831,,
2016-02-26,,,0.8397619047619047,0.7813,,
2016-02-27,,,0.8540438740079365,0.7950865699404762,,
2016-02-28,,,0.844875338203463,0.7854006290584415,,
2016-02-29,0.8305,0.7739,0.8305,0.7739,,
2016-03-01,0.8391,0.7813,0.8391,0.7813,,
2016-03-02,0.8659,0.8052,0.8659,0.8052,,
2016-03-03,0.8907,0.8375,0.8907,0.8375,,
2016-03-04,,,0.86138125,0.8042781250000001,,
2016-03-05,,,0.8659,0.8052,,
2016-03-06,,,0.8728,0.8174,,
2016-03-07,,,0.87125,0.816425,,
2016-03-08,,,0.8719414814814815,0.8166975925925927,,
2016-03-09,0.8549,0.7973,0.8549,0.7973,,
2016-03-10,,,0.8714566666666667,0.8171366666666666,,
2016-03-11,,,0.8696999999999999,0.81545,,
2016-03-12,,,0.8753833333333333,0.8219333333333333,,
2016-03-13,,,0.8753833333333333,0.8219333333333333,,
2016-03-14,0.8845,0.8336,0.8845,0.8336,,
2016-03-15,,,0.8867499999999999,0.8349,,
2016-03-16,0.889,0.8362,0.889,0.8362,,
2016-03-17,0.7802,0.7271,0.7802,0.7271,,
2016-03-18,,,0.8286333333333333,0.7731666666666666,,
2016-03-19,,,0.79845,0.7416499999999999,,
2016-03-20,0.8167,0.7562,0.8167,0.7562,,
2016-03-21,,,0.8286333333333333,0.7731666666666666,,
2016-03-22,,,0.8392999999999999,0.782,,
2016-03-23,,,0.8619,0.8078,,
2016-03-24,0.8619,0.8078,0.8619,0.8078,,
2016-03-25,0.9061,0.8786,0.9061,0.8786,,
2016-03-26,0.9146,0.866,0.9146,0.866,,
2016-03-27,,,0.8791,0.8261499999999999,,
2016-03-28,,,0.8815999999999999,0.8353400000000001,,
2016-03-29,,,0.88,0.8301000000000001,,
2016-03-30,,,0.8791,0.8261499999999999,,
2016-03-31,,,0.8791,0.8208500000000001,,
2016-04-01,0.8454,0.7942,0.8454,0.7942,,
2016-04-02,0.8764,0.8143,0.8764,0.8143,,
2016-04-03,,,0.8727433333333334,0.8121700000000001,,
2016-04-04,,,0.8764,0.8143,,
2016-04-05,,,0.8840166666666667,0.8208500000000001,,
2016-04-06,,,0.8840166666666667,0.8208500000000001,,
2016-04-07,0.8815,0.8172,0.8815,0.8172,,
2016-04-08,,,0.89415,0.8310500000000001,,
2016-04-09,,,0.89415,0.8310500000000001,,
2016-04-10,0.9068,0.8449,0.9068,0.8449,,
2016-04-11,,,0.8966462962962964,0.8363833333333335,,
2016-04-12,,,0.9008,0.8449,,
2016-04-13,,,0.9038,0.8456,,
2016-04-14,,,0.9038,0.8456,,
2016-04-15,,,0.9038888888888889,0.8457074074074074,,
2016-04-16,0.9008,0.8463,0.9008,0.8463,,
2016-04-17,0.9178,0.8645,0.9178,0.8645,,
2016-04-18,0.8984,0.8377,0.8984,0.8377,,
2016-04-19,,,0.9044,0.8441666666666666,,
2016-04-20,,,0.8984,0.8377,,
2016-04-21,0.897,0.8303,0.897,0.8303,,
2016-04-22,0.916,0.8602,0.916,0.8602,,
2016-04-23,0.8964,0.8272,0.8964,0.8272,,
2016-04-24,0.913,0.8496,0.913,0.8496,,
2016-04-25,0.8918,0.8253,0.8918,0.8253,,
2016-04-26,0.9089,0.8453,0.9089,0.8453,,
2016-04-27,0.8871,0.818,0.8871,0.818,,
2016-04-28,,,0.8871,0.818,,
2016-04-29,,,0.83345,0.7336,,
2016-04-30,0.7798,0.6492,0.7798,0.6492,,
2016-05-01,,,0.82835,0.72975,,
2016-05-02,,,0.7798,0.6492,,
2016-05-03,0.8769,0.8103,0.8769,0.8103,,
2016-05-04,0.5641,0.4828,0.5641,0.4828,,
2016-05-05,,,0.718,0.6406000000000001,,
