system:time_start,B1,B1_interpolate
2017-02-22,8785.0,8785.0
2017-02-23,,
2017-02-24,,
2017-02-25,7992.0,7992.0
2017-02-26,,
2017-02-27,,
2017-02-28,,
2017-03-01,,
2017-03-02,,
2017-03-03,,
2017-03-04,,
2017-03-05,,
2017-03-06,,
2017-03-07,,
2017-03-08,,
2017-03-09,,
2017-03-10,,
2017-03-11,,
2017-03-12,,
2017-03-13,6898.0,6898.0
2017-03-14,,
2017-03-15,8243.0,8243.0
2017-03-16,7515.0,7515.0
2017-03-17,8315.0,8315.0
2017-03-18,8038.0,8038.0
2017-03-19,,
2017-03-20,8080.0,8080.0
2017-03-21,,
2017-03-22,,
2017-03-23,,
2017-03-24,,
2017-03-25,,8339.17391668489
2017-03-26,8754.0,8754.0
2017-03-27,,8298.944187648744
2017-03-28,,8243.615519533887
2017-03-29,8533.0,8533.0
2017-03-30,,8062.003328089659
2017-03-31,,7938.892506287381
2017-04-01,,7859.348773802611
2017-04-02,,7653.718834533626
2017-04-03,7230.0,7230.0
2017-04-04,8854.0,8854.0
2017-04-05,6107.0,6107.0
2017-04-06,,6688.919482311017
2017-04-07,,6513.644889929716
2017-04-08,,6426.008185388682
2017-04-09,,6447.892135609813
2017-04-10,5275.0,5275.0
2017-04-11,,6813.988904433354
2017-04-12,,7455.439037375697
2017-04-13,,7572.116688950649
2017-04-14,8719.0,8719.0
2017-04-15,8820.0,8820.0
2017-04-16,9132.0,9132.0
2017-04-17,,8020.222999278601
2017-04-18,6262.0,6262.0
2017-04-19,,8184.494286884382
2017-04-20,9022.0,9022.0
2017-04-21,,8310.876526490836
2017-04-22,,8364.209663560508
2017-04-23,,8412.803822325759
2017-04-24,,8457.212691542321
2017-04-25,,8497.57468223956
2017-04-26,,8533.495926086178
2017-04-27,,8564.128076892755
2017-04-28,8172.0,8172.0
2017-04-29,,8605.648825104901
2017-04-30,9161.0,9161.0
2017-05-01,9146.0,9146.0
2017-05-02,9245.0,9245.0
2017-05-03,9387.0,9387.0
2017-05-04,6118.0,6118.0
2017-05-05,9143.0,9143.0
2017-05-06,9125.0,9125.0
2017-05-07,9044.0,9044.0
2017-05-08,7845.0,7845.0
2017-05-09,,8416.320902123736
2017-05-10,,8364.633246941503
2017-05-11,,8315.743219467344
2017-05-12,,8282.640564492729
2017-05-13,9227.0,9227.0
2017-05-14,5340.0,5340.0
2017-05-15,8502.0,8502.0
2017-05-16,9162.0,9162.0
2017-05-17,9525.0,9525.0
2017-05-18,,8423.907933518267
2017-05-19,,8329.920401235106
2017-05-20,,8191.340417620275
2017-05-21,,8048.803072246505
2017-05-22,8193.0,8193.0
