system:time_start,B1,B1_interpolate,B1_interpolate_phenology
2017-02-22,8785.0,8785.0,
2017-02-23,,,
2017-02-24,,7992.0,
2017-02-25,7992.0,7992.0,
2017-02-26,,,
2017-02-27,,,
2017-02-28,,,
2017-03-01,,,
2017-03-02,,,
2017-03-03,,,
2017-03-04,,7445.0,
2017-03-05,,7445.0,
2017-03-06,,6898.0,
2017-03-07,,7585.111111111111,
2017-03-08,,7669.675925925926,
2017-03-09,,7669.675925925926,
2017-03-10,,7585.111111111111,
2017-03-11,,7823.657664609054,
2017-03-12,,7585.111111111111,
2017-03-13,6898.0,6898.0,
2017-03-14,,7515.0,
2017-03-15,8243.0,8243.0,
2017-03-16,7515.0,7515.0,
2017-03-17,8315.0,8315.0,
2017-03-18,8038.0,8038.0,
2017-03-19,,8059.0,
2017-03-20,8080.0,8080.0,
2017-03-21,,8199.375,
2017-03-22,,8417.0,
2017-03-23,,8417.0,
2017-03-24,,8417.0,
2017-03-25,,8474.083333333334,
2017-03-26,8754.0,8754.0,
2017-03-27,,8643.5,
2017-03-28,,7881.5,
2017-03-29,8533.0,8533.0,
2017-03-30,,7881.5,
2017-03-31,,7881.5,
2017-04-01,,7881.5,
2017-04-02,,7721.1,
2017-04-03,7230.0,7230.0,
2017-04-04,8854.0,8854.0,
2017-04-05,6107.0,6107.0,
2017-04-06,,6631.4,
2017-04-07,,5275.0,
2017-04-08,,5691.0,
2017-04-09,,5275.0,
2017-04-10,5275.0,5275.0,
2017-04-11,,5275.0,
2017-04-12,,6997.0,
2017-04-13,,5275.0,
2017-04-14,8719.0,8719.0,
2017-04-15,8820.0,8820.0,
2017-04-16,9132.0,9132.0,
2017-04-17,,9132.0,
2017-04-18,6262.0,6262.0,
2017-04-19,,6262.0,
2017-04-20,9022.0,9022.0,
2017-04-21,,6262.0,
2017-04-22,,8093.875,
2017-04-23,,8172.0,
2017-04-24,,8597.0,
2017-04-25,,8172.0,
2017-04-26,,8787.857142857143,
2017-04-27,,8172.0,
2017-04-28,8172.0,8172.0,
2017-04-29,,9146.0,
2017-04-30,9161.0,9161.0,
2017-05-01,9146.0,9146.0,
2017-05-02,9245.0,9245.0,
2017-05-03,9387.0,9387.0,
2017-05-04,6118.0,6118.0,
2017-05-05,9143.0,9143.0,
2017-05-06,9125.0,9125.0,
2017-05-07,9044.0,9044.0,
2017-05-08,7845.0,7845.0,
2017-05-09,,9044.0,
2017-05-10,,8705.333333333334,
2017-05-11,,8705.333333333334,
2017-05-12,,8130.222222222223,
2017-05-13,9227.0,9227.0,
2017-05-14,5340.0,5340.0,
2017-05-15,8502.0,8502.0,
