system:time_start,B1,B1_interpolate
2017-02-22,8785.0,8785.0
2017-02-23,,8520.666666666666
2017-02-24,,8256.333333333332
2017-02-25,7992.0,7992.0
2017-02-26,,7923.625
2017-02-27,,7855.25
2017-02-28,,7786.875
2017-03-01,,
2017-03-02,,
2017-03-03,,
2017-03-04,,
2017-03-05,,
2017-03-06,,
2017-03-07,,
2017-03-08,,
2017-03-09,,
2017-03-10,,7103.125
2017-03-11,,7034.75
2017-03-12,,6966.375
2017-03-13,6898.0,6898.0
2017-03-14,,7570.5
2017-03-15,8243.0,8243.0
2017-03-16,7515.0,7515.0
2017-03-17,8315.0,8315.0
2017-03-18,8038.0,8038.0
2017-03-19,,8059.0
2017-03-20,8080.0,8080.0
2017-03-21,,8192.333333333332
2017-03-22,,8304.666666666666
2017-03-23,,8416.999999999998
2017-03-24,,8529.333333333332
2017-03-25,,8641.666666666666
2017-03-26,8754.0,8754.0
2017-03-27,,8680.333333333332
2017-03-28,,8606.666666666666
2017-03-29,8533.0,8533.0
2017-03-30,,8272.4
2017-03-31,,8011.799999999999
2017-04-01,,7751.2
2017-04-02,,7490.5999999999985
2017-04-03,7230.0,7230.0
2017-04-04,8854.0,8854.0
2017-04-05,6107.0,6107.0
2017-04-06,,5940.599999999999
2017-04-07,,5774.2
2017-04-08,,5607.799999999999
2017-04-09,,5441.4
2017-04-10,5275.0,5275.0
2017-04-11,,6136.0
2017-04-12,,6997.0
2017-04-13,,7858.0
2017-04-14,8719.0,8719.0
2017-04-15,8820.0,8820.0
2017-04-16,9132.0,9132.0
2017-04-17,,7697.0
2017-04-18,6262.0,6262.0
2017-04-19,,7642.0
2017-04-20,9022.0,9022.0
2017-04-21,,8915.75
2017-04-22,,8809.5
2017-04-23,,8703.25
2017-04-24,,
2017-04-25,,8490.75
2017-04-26,,8384.5
2017-04-27,,8278.25
2017-04-28,8172.0,8172.0
2017-04-29,,8666.5
2017-04-30,9161.0,9161.0
2017-05-01,9146.0,9146.0
2017-05-02,9245.0,9245.0
2017-05-03,9387.0,9387.0
2017-05-04,6118.0,6118.0
2017-05-05,9143.0,9143.0
2017-05-06,9125.0,9125.0
2017-05-07,9044.0,9044.0
2017-05-08,7845.0,7845.0
2017-05-09,,8121.399999999999
2017-05-10,,8397.8
2017-05-11,,8674.199999999999
2017-05-12,,8950.599999999999
2017-05-13,9227.0,9227.0
2017-05-14,5340.0,5340.0
2017-05-15,8502.0,8502.0
2017-05-16,9162.0,9162.0
2017-05-17,9525.0,9525.0
2017-05-18,,9258.599999999999
2017-05-19,,8992.2
2017-05-20,,8725.8
2017-05-21,,8459.4
2017-05-22,8193.0,8193.0
2017-05-23,3741.0,3741.0
2017-05-24,8530.0,8530.0
2017-05-25,8915.0,8915.0
2017-05-26,8929.0,8929.0
2017-05-27,8838.0,8838.0
2017-05-28,9096.0,9096.0
2017-05-29,,8281.0
2017-05-30,,7466.0
2017-05-31,6651.0,6651.0
2017-06-01,,6360.75
2017-06-02,,6070.5
2017-06-03,,5780.25
2017-06-04,5490.0,5490.0
2017-06-05,5914.0,5914.0
2017-06-06,8633.0,8633.0
2017-06-07,,8237.166666666666
2017-06-08,,7841.333333333333
2017-06-09,,7445.499999999998
2017-06-10,,7049.666666666666
2017-06-11,,6653.833333333332
2017-06-12,6258.0,6258.0
2017-06-13,9173.0,9173.0
2017-06-14,8457.0,8457.0
2017-06-15,,8350.0
