system:time_start,B2
"Feb 21, 2017",0.723
"Feb 22, 2017",0.715
"Feb 22, 2017",0.694
"Feb 24, 2017",0.704
"Feb 24, 2017",0.585
"Feb 25, 2017",0.725
"Feb 27, 2017",0.703
"Mar 2, 2017",0.552
"Mar 12, 2017",0.694
"Mar 13, 2017",0.76
"Mar 14, 2017",0.609
"Mar 16, 2017",0.309
"Mar 17, 2017",0.826
"Mar 18, 2017",0.766
"Mar 19, 2017",0.746
"Mar 20, 2017",0.775
"Mar 22, 2017",0.556
"Mar 24, 2017",0.508
"Mar 26, 2017",0.804
"Mar 28, 2017",0.854
"Mar 28, 2017",0.802
"Apr 4, 2017",0.853
"Apr 11, 2017",0.854
"Apr 13, 2017",0.852
"Apr 13, 2017",0.869
"Apr 13, 2017",0.829
"Apr 14, 2017",0.869
"Apr 15, 2017",0.838
"Apr 16, 2017",0.83
"Apr 17, 2017",0.851
"Apr 18, 2017",0.785
"Apr 18, 2017",0.894
"Apr 20, 2017",0.884
"Apr 23, 2017",0.32
"Apr 27, 2017",0.848
"Apr 28, 2017",0.76
"Apr 29, 2017",0.687
"Apr 30, 2017",0.883
"May 1, 2017",0.84
"May 2, 2017",0.795
"May 3, 2017",0.391
"May 5, 2017",0.827
"May 6, 2017",0.834
"May 6, 2017",0.901
"May 7, 2017",0.814
"May 8, 2017",0.703
"May 13, 2017",0.928
"May 14, 2017",0.838
"May 15, 2017",0.848
"May 16, 2017",0.83
"May 17, 2017",0.565
"May 23, 2017",0.858
"May 24, 2017",0.805
"May 25, 2017",0.789
"May 26, 2017",0.816
"May 27, 2017",0.807
"May 27, 2017",0.907
"May 28, 2017",0.71
"May 30, 2017",0.818
"Jun 4, 2017",0.393
"Jun 5, 2017",0.881
"Jun 6, 2017",0.737
"Jun 7, 2017",0.752
"Jun 7, 2017",0.883
"Jun 8, 2017",0.761
"Jun 9, 2017",0.638
"Jun 12, 2017",0.885
"Jun 14, 2017",0.68
"Jun 14, 2017",0.85
"Jun 17, 2017",0.491
"Jun 19, 2017",0.656
"Jun 20, 2017",0.618
"Jun 21, 2017",0.734
"Jun 21, 2017",0.792
"Jun 22, 2017",0.582
"Jun 23, 2017",0.715
"Jun 23, 2017",0.73
"Jun 26, 2017",0.413
"Jun 29, 2017",0.035
"Jun 30, 2017",0.062
"Jul 1, 2017",0.165
"Jul 3, 2017",0.077
"Jul 4, 2017",0.09
"Jul 5, 2017",0.091
"Jul 6, 2017",0.162
"Jul 7, 2017",0.168
"Jul 7, 2017",0.375
"Jul 8, 2017",0.181
"Jul 17, 2017",0.011
"Jul 18, 2017",0.028
"Aug 6, 2017",0.052
"Aug 8, 2017",0.014
"Aug 12, 2017",-0
"Aug 14, 2017",0.013
"Aug 15, 2017",0.02
"Aug 17, 2017",0.011
"Aug 27, 2017",0.006
"Sep 9, 2017",0.033
"Sep 18, 2017",0.011
"Sep 19, 2017",0.007
"Sep 20, 2017",0.004
"Sep 21, 2017",0.031
"Sep 30, 2017",0.049
"Oct 2, 2017",0.398
"Oct 10, 2017",0.394
"Oct 11, 2017",0.145
"Oct 14, 2017",0.68
"Oct 16, 2017",0.416
"Feb 20, 2018",0.886
"Feb 24, 2018",0.373
"Feb 25, 2018",0.454
"Feb 26, 2018",0.698
"Feb 27, 2018",0.48
"Feb 27, 2018",0.595
"Feb 28, 2018",0.517
"Mar 1, 2018",0.287
"Mar 5, 2018",0.53
"Mar 6, 2018",0.734
"Mar 9, 2018",0.529
"Mar 10, 2018",0.578
"Mar 13, 2018",0.759
"Mar 13, 2018",0.773
"Mar 14, 2018",0.812
"Mar 15, 2018",0.776
"Mar 15, 2018",0.711
"Mar 16, 2018",0.777
"Mar 17, 2018",0.793
"Mar 18, 2018",0.743
"Mar 19, 2018",0.506
"Mar 20, 2018",0.8
"Mar 22, 2018",0.816
"Mar 22, 2018",0.808
"Mar 26, 2018",0.654
"Mar 29, 2018",0.884
"Mar 31, 2018",0.832
"Mar 31, 2018",0.818
"Mar 31, 2018",0.77
"Apr 1, 2018",0.8
"Apr 2, 2018",0.891
"Apr 3, 2018",0.812
"Apr 4, 2018",0.805
"Apr 5, 2018",0.839
"Apr 7, 2018",0.821
"Apr 7, 2018",0.839
"Apr 8, 2018",0.829
"Apr 9, 2018",0.815
"Apr 10, 2018",0.806
"Apr 11, 2018",0.703
"Apr 14, 2018",0.717
"Apr 16, 2018",0.815
"Apr 16, 2018",0.779
"Apr 18, 2018",0.751
"Apr 19, 2018",0.818
"Apr 21, 2018",0.874
"Apr 23, 2018",0.885
"Apr 30, 2018",0.909
"May 1, 2018",0.602
"May 13, 2018",0.769
"May 14, 2018",0.737
"May 14, 2018",0.928
"May 15, 2018",0.753
"May 24, 2018",0.325
"May 26, 2018",0.821
"May 27, 2018",0.943
"May 29, 2018",0.715
"May 30, 2018",0.849
"May 31, 2018",0.751
"Jun 1, 2018",0.947
"Jun 2, 2018",0.84
"Jun 5, 2018",0.665
"Jun 6, 2018",0.806
"Jun 7, 2018",0.451
"Jun 13, 2018",0.513
"Jun 14, 2018",0.447
"Jun 16, 2018",0.219
"Jun 17, 2018",0.391
"Jun 18, 2018",0.431
"Jun 20, 2018",0.174
"Jun 28, 2018",0.331
"Jun 29, 2018",0.33
"Jun 30, 2018",0.335
"Jul 1, 2018",0.399
"Jul 2, 2018",0.363
"Jul 3, 2018",0.151
"Jul 9, 2018",0.473
"Jul 10, 2018",0.238
"Jul 12, 2018",0.411
"Jul 12, 2018",0.565
"Jul 13, 2018",0.147
"Jul 17, 2018",0.365
"Jul 18, 2018",0.177
"Jul 20, 2018",0.292
"Jul 23, 2018",0.023
"Jul 31, 2018",-0.01
"Aug 1, 2018",0.104
"Aug 2, 2018",0.034
"Aug 2, 2018",0.251
"Aug 11, 2018",0.146
"Aug 14, 2018",0.041
"Aug 22, 2018",0.291
"Aug 26, 2018",0.261
"Aug 29, 2018",0.284
"Sep 6, 2018",0.391
"Sep 10, 2018",0.079
"Sep 17, 2018",0.364
"Sep 28, 2018",0.42
"Oct 3, 2018",0.21
"Oct 5, 2018",0.247
"Feb 21, 2019",0.606
"Feb 22, 2019",0.526
"Feb 26, 2019",0.714
"Feb 27, 2019",0.738
"Feb 28, 2019",0.72
"Feb 28, 2019",0.692
"Mar 1, 2019",0.484
"Mar 2, 2019",0.614
"Mar 3, 2019",0.725
"Mar 4, 2019",0.756
"Mar 5, 2019",0.669
"Mar 6, 2019",0.724
"Mar 7, 2019",0.711
"Mar 7, 2019",0.702
"Mar 8, 2019",0.734
"Mar 9, 2019",0.584
"Mar 14, 2019",0.75
"Mar 14, 2019",0.734
"Mar 16, 2019",0.741
"Mar 17, 2019",0.764
"Mar 18, 2019",0.774
"Mar 18, 2019",0.714
"Mar 19, 2019",0.375
"Mar 25, 2019",0.436
"Mar 25, 2019",0.733
"Mar 30, 2019",0.807
"Apr 3, 2019",0.809
"Apr 3, 2019",0.763
"Apr 6, 2019",0.796
"Apr 8, 2019",0.822
"Apr 9, 2019",0.813
"Apr 10, 2019",0.577
"Apr 11, 2019",0.88
"Apr 13, 2019",0.82
"Apr 14, 2019",0.868
"Apr 15, 2019",0.899
"Apr 17, 2019",0.82
"Apr 19, 2019",0.87
"Apr 19, 2019",0.833
"Apr 24, 2019",0.854
"Apr 26, 2019",0.853
"May 3, 2019",0.804
"May 7, 2019",0.826
"May 8, 2019",0.818
"May 11, 2019",0.142
"May 15, 2019",0.717
"May 15, 2019",0.738
"May 16, 2019",0.987
"May 21, 2019",0.452
"May 22, 2019",0.835
"May 23, 2019",0.841
"May 24, 2019",0.833
"May 25, 2019",0.669
"May 26, 2019",0.526
"May 27, 2019",0.372
"May 28, 2019",0.86
"May 30, 2019",0.802
"May 31, 2019",0.776
"Jun 6, 2019",0.759
"Jun 7, 2019",0.751
"Jun 8, 2019",0.549
"Jun 9, 2019",0.538
"Jun 10, 2019",0.445
"Jun 11, 2019",0.141
"Jun 12, 2019",0.568
"Jun 13, 2019",0.703
"Jun 13, 2019",0.823
"Jun 16, 2019",0.439
"Jun 17, 2019",0.549
"Jun 18, 2019",0.512
"Jun 19, 2019",0.518
"Jun 20, 2019",0.504
"Jun 20, 2019",0.69
"Jun 22, 2019",0.239
"Jun 23, 2019",0.296
"Jun 24, 2019",0.267
"Jun 25, 2019",0.246
"Jun 30, 2019",0.433
"Jul 1, 2019",0.46
"Jul 2, 2019",0.441
"Jul 3, 2019",0.321
"Jul 4, 2019",0.413
"Jul 4, 2019",0.551
"Jul 5, 2019",0.421
"Jul 6, 2019",0.523
"Jul 7, 2019",0.22
"Jul 9, 2019",0.079
"Jul 14, 2019",0.168
"Jul 17, 2019",0.16
"Jul 18, 2019",0.278
"Jul 24, 2019",0.208
"Jul 25, 2019",0.06
"Jul 26, 2019",0.07
"Jul 27, 2019",0.04
"Aug 4, 2019",0.05
"Aug 5, 2019",0.061
"Aug 16, 2019",0
"Aug 17, 2019",0.001
"Aug 18, 2019",0.162
"Aug 24, 2019",0.076
"Aug 25, 2019",0.038
"Aug 26, 2019",0.027
"Sep 2, 2019",0.008
"Sep 4, 2019",0.021
"Sep 6, 2019",0.016
"Sep 7, 2019",0.029
"Sep 14, 2019",0.032
"Sep 15, 2019",0.026
"Sep 17, 2019",0.02
"Sep 18, 2019",0.02
"Sep 25, 2019",0.021
"Oct 5, 2019",0.404
"Oct 14, 2019",0.28
"Oct 19, 2019",0.208
"Feb 22, 2020",0.096
"Feb 24, 2020",0.146
"Feb 24, 2020",0.257
"Feb 25, 2020",0.618
"Mar 1, 2020",0.502
"Mar 3, 2020",0.547
"Mar 4, 2020",0.629
"Mar 4, 2020",0.558
"Mar 5, 2020",0.731
"Mar 6, 2020",0.687
"Mar 10, 2020",0.507
"Mar 11, 2020",0.719
"Mar 12, 2020",0.718
"Mar 15, 2020",0.778
"Mar 18, 2020",0.78
"Mar 18, 2020",0.761
"Mar 25, 2020",0.795
"Apr 2, 2020",0.859
"Apr 3, 2020",0.766
"Apr 3, 2020",0.856
"Apr 5, 2020",0.838
"Apr 5, 2020",0.794
"Apr 6, 2020",0.798
"Apr 7, 2020",0.812
"Apr 10, 2020",0.829
"Apr 12, 2020",0.789
"Apr 12, 2020",0.814
"Apr 16, 2020",0.804
"Apr 17, 2020",0.745
"Apr 19, 2020",0.842
"Apr 20, 2020",0.794
"Apr 28, 2020",0.461
"May 1, 2020",0.679
"May 2, 2020",0.68
"May 3, 2020",0.6
"May 3, 2020",0.791
"May 4, 2020",0.445
"May 10, 2020",0.771
"May 11, 2020",0.827
"May 12, 2020",0.709
"May 15, 2020",0.486
"May 16, 2020",0.169
"May 17, 2020",0.771
"May 23, 2020",0.816
"May 24, 2020",0.826
"May 30, 2020",0.74
"Jun 7, 2020",0.35
"Jun 9, 2020",0.749
"Jun 10, 2020",0.719
"Jun 11, 2020",0.635
"Jun 12, 2020",0.707
"Jun 13, 2020",0.665
"Jun 15, 2020",0.627
"Jun 15, 2020",0.769
"Jun 16, 2020",0.598
"Jun 16, 2020",0.628
"Jun 17, 2020",0.666
"Jun 18, 2020",0.516
"Jun 19, 2020",0.207
"Jun 25, 2020",0.375
"Jun 28, 2020",0.155
"Jul 3, 2020",0.185
"Jul 4, 2020",0.245
"Jul 5, 2020",0.219
"Jul 6, 2020",0.195
"Jul 7, 2020",0.205
"Jul 8, 2020",0.162
"Jul 8, 2020",0.309
"Jul 9, 2020",0.156
"Jul 10, 2020",0.201
"Jul 11, 2020",-0.01
"Jul 12, 2020",0.012
"Jul 14, 2020",0.024
"Jul 15, 2020",0.009
"Jul 16, 2020",0.019
"Jul 21, 2020",0.085
"Jul 22, 2020",0.098
"Jul 23, 2020",0.128
"Jul 24, 2020",0.286
"Jul 25, 2020",0.08
"Jul 27, 2020",0.333
"Jul 28, 2020",0.091
"Jul 29, 2020",0.141
"Jul 31, 2020",0.043
"Aug 5, 2020",0.145
"Aug 6, 2020",-0.002
"Aug 8, 2020",-0
"Aug 9, 2020",0.001
"Aug 10, 2020",-0
"Aug 14, 2020",-0
"Aug 15, 2020",0.024
"Aug 17, 2020",0.009
"Aug 27, 2020",0.027
"Aug 30, 2020",0.004
"Oct 3, 2020",0.022
"Oct 12, 2020",0.347
"Feb 19, 2021",0.527
"Feb 26, 2021",0.818
"Mar 5, 2021",0.755
"Mar 5, 2021",0.722
"Mar 9, 2021",0.774
"Mar 10, 2021",0.777
"Mar 12, 2021",0.769
"Mar 13, 2021",0.732
"Mar 14, 2021",0.615
"Mar 15, 2021",0.78
"Mar 21, 2021",0.716
"Mar 21, 2021",0.788
"Mar 23, 2021",0.731
"Mar 24, 2021",0.81
"Mar 26, 2021",0.644
"Mar 28, 2021",0.802
"Mar 30, 2021",0.82
"Apr 2, 2021",0.836
"Apr 3, 2021",0.833
"Apr 6, 2021",0.834
"Apr 7, 2021",0.823
"Apr 8, 2021",0.736
"Apr 10, 2021",0.855
"Apr 13, 2021",0.843
"Apr 13, 2021",0.836
"Apr 14, 2021",0.646
"Apr 15, 2021",0.833
"Apr 15, 2021",0.841
"Apr 16, 2021",0.815
"Apr 17, 2021",0.818
"Apr 22, 2021",0.892
"May 3, 2021",0.836
"May 4, 2021",0.821
"May 5, 2021",0.858
"May 6, 2021",0.879
"May 7, 2021",0.766
"May 9, 2021",0.832
"May 10, 2021",0.703
"May 11, 2021",0.845
"May 13, 2021",0.887
"May 14, 2021",0.839
"May 15, 2021",0.868
"May 15, 2021",0.778
"May 21, 2021",0.738
"May 22, 2021",0.769
"May 23, 2021",0.839
"May 24, 2021",0.739
"May 25, 2021",0.752
"May 28, 2021",0.85
"May 29, 2021",0.828
"Jun 4, 2021",0.805
"Jun 7, 2021",0.756
"Jun 7, 2021",0.871
"Jun 8, 2021",0.748
"Jun 10, 2021",0.707
"Jun 11, 2021",0.714
"Jun 12, 2021",0.703
"Jun 13, 2021",0.662
"Jun 14, 2021",0.711
"Jun 16, 2021",0.601
"Jun 17, 2021",0.673
"Jun 19, 2021",0.459
"Jun 20, 2021",0.485
"Jun 22, 2021",0.369
"Jun 23, 2021",0.14
"Jun 29, 2021",0.036
"Jul 1, 2021",0.036
"Jul 5, 2021",0.003
"Jul 6, 2021",0.008
"Jul 7, 2021",0.013
"Jul 8, 2021",0.005
"Jul 9, 2021",0.013
"Jul 10, 2021",0.018
"Jul 13, 2021",0.377
"Jul 15, 2021",0.44
"Jul 16, 2021",0.118
"Jul 17, 2021",0.111
"Jul 20, 2021",0.026
"Jul 22, 2021",0.022
"Jul 23, 2021",0.013
"Jul 24, 2021",0.008
"Jul 25, 2021",0.021
"Jul 31, 2021",0.313
"Aug 3, 2021",0.006
"Aug 6, 2021",0.331
"Aug 7, 2021",0.369
"Aug 8, 2021",0.301
"Aug 10, 2021",0.28
"Aug 13, 2021",0.053
"Aug 17, 2021",0.304
"Aug 23, 2021",0.021
"Aug 25, 2021",0.058
"Aug 27, 2021",0.012
"Sep 20, 2021",0.238
