system:time_start,B2,B2_interpolate,B2_interpolate_phenology
2017-02-22,7072.0,7072.0,0.0
2017-02-23,,7146.5,0.0
2017-02-24,,7146.5,0.0
2017-02-25,7221.0,7221.0,0.0
2017-02-26,,7072.0,0.0
2017-02-27,,7072.0,0.0
2017-02-28,,7146.5,0.0
2017-03-01,,7218.0,0.0
2017-03-02,,7219.5,0.0
2017-03-03,,7221.0,0.0
2017-03-04,,7221.0,0.0
2017-03-05,,7464.0,0.0
2017-03-06,,7464.0,0.0
2017-03-07,,7464.0,0.0
2017-03-08,,7464.0,0.0
2017-03-09,,7464.0,0.0
2017-03-10,,7707.0,0.0
2017-03-11,,7753.5,0.0
2017-03-12,,7753.5,0.0
2017-03-13,6149.0,6149.0,0.0
2017-03-14,,7811.5,0.0
2017-03-15,7922.0,7922.0,0.0
2017-03-16,7218.0,7218.0,0.0
2017-03-17,7800.0,7800.0,0.0
2017-03-18,7707.0,7707.0,0.0
2017-03-19,,7800.0,0.0
2017-03-20,7823.0,7823.0,0.0
2017-03-21,,7800.0,0.0
2017-03-22,,7800.0,0.0
2017-03-23,,7800.0,0.0
2017-03-24,,7800.0,0.0
2017-03-25,,7800.0,0.0
2017-03-26,8279.0,8279.0,0.0
2017-03-27,,7753.5,0.0
2017-03-28,,7753.5,0.0
2017-03-29,8046.0,8046.0,0.0
2017-03-30,,7811.5,0.0
2017-03-31,,7811.5,0.0
2017-04-01,,7934.5,0.0
2017-04-02,,8046.0,0.0
2017-04-03,6622.0,6622.0,0.0
2017-04-04,8254.0,8254.0,0.0
2017-04-05,5398.0,5398.0,0.0
2017-04-06,,8229.0,0.0
2017-04-07,,8229.0,0.0
2017-04-08,,8229.0,0.0
2017-04-09,,8229.0,0.0
2017-04-10,3905.0,3905.0,0.0
2017-04-11,,8137.5,0.0
2017-04-12,,8137.5,0.0
2017-04-13,,8046.0,0.0
2017-04-14,8229.0,8229.0,0.0
2017-04-15,8237.0,8237.0,0.0
2017-04-16,8450.0,8450.0,0.0
2017-04-17,,8237.0,0.0
2017-04-18,4738.0,4738.0,0.0
2017-04-19,,8245.5,0.0
2017-04-20,8477.0,8477.0,0.0
2017-04-21,,8385.0,0.0
2017-04-22,,8384.0,0.0
2017-04-23,,8310.5,0.0
2017-04-24,,8310.5,0.0
2017-04-25,,8310.5,0.0
2017-04-26,,8384.0,0.0
2017-04-27,,8384.0,0.0
2017-04-28,7167.0,7167.0,0.0
2017-04-29,,8384.0,0.0
2017-04-30,8572.0,8572.0,0.0
2017-05-01,8389.0,8389.0,0.0
2017-05-02,8703.0,8703.0,0.0
2017-05-03,8622.0,8622.0,0.0
2017-05-04,5174.0,5174.0,0.0
2017-05-05,8384.0,8384.0,0.0
2017-05-06,8386.0,8386.0,0.0
2017-05-07,8215.0,8215.0,0.0
2017-05-08,6843.0,6843.0,0.0
2017-05-09,,8258.5,0.0
2017-05-10,,8215.0,0.0
2017-05-11,,8028.0,0.0
2017-05-12,,7841.0,0.0
2017-05-13,8566.0,8566.0,0.0
2017-05-14,4312.0,4312.0,0.0
2017-05-15,7421.0,7421.0,0.0
2017-05-16,8302.0,8302.0,0.0
2017-05-17,8684.0,8684.0,0.0
2017-05-18,,7748.0,0.0
2017-05-19,,7741.5,0.0
2017-05-20,,7741.5,0.0
2017-05-21,,7685.0,0.0
2017-05-22,7372.0,7372.0,0.0
2017-05-23,2584.0,2584.0,0.0
2017-05-24,7635.0,7635.0,0.0
