system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate
01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-11,,,,,,,,,,,,,,0.3709111111111111,,,,,,,,,,,,,,,,,,,,,,,0.3709111111111111,,,,,,,,,
01-12,,0.584,,,,,,,,,0.3834444444444445,0.0179,,,,,,,,0.5366111111111111,,,,,0.584,,,,,,,,,0.3834444444444445,0.0179,,0.45875,,,,,,0.5366111111111111,,,
01-13,,,,0.4996230769230769,,,,,,,,,,0.5465888888888889,,,,,,,,,0.4718888888888888,,0.547525,,0.4996230769230769,,,,,,,,,,0.5465888888888889,,,,,,0.5640555555555555,,,0.4718888888888888
01-14,,0.51105,,0.3498666666666666,,,,,0.4229857142857143,,,,,,,,,,,0.5915,,,,,0.51105,,0.3498666666666666,,,,,0.4229857142857143,,0.4647277777777778,,,0.46910555555555555,,,,,,0.5915,,,
01-15,,,,0.4124222222222222,,,0.3802666666666667,,,,,,,0.3916222222222222,,,0.6012444444444445,,,,0.1717,0.367575,,,0.5394466666666667,,0.4124222222222222,,,0.3802666666666667,,,,0.5309025793650793,,,0.3916222222222222,,,0.6012444444444445,,,0.6190768518518518,0.1717,0.367575,0.423861111111111
