system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate,2000_phenology,2001_phenology,2002_phenology,2003_phenology,2004_phenology,2005_phenology,2006_phenology,2007_phenology,2008_phenology,2009_phenology,2010_phenology,2011_phenology,2012_phenology,2013_phenology,2014_phenology,2015_phenology,2016_phenology,2017_phenology,2018_phenology,2019_phenology,2020_phenology,2021_phenology,2022_phenology
01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07,,,,,,,,,,,,,,,,,,0.11626,,,,0.7416,,,,,,,,,,,,,,,,,,,0.11626,,,,0.7416,,,,,,,,,,,,,,,,,,,,,,,,
01-08,,,,0.0202,,0.0378,,0.3918111111111111,,0.579025,,,,0.5033,,,,,0.6003333333333333,,,,,,,,0.0202,,0.0378,,0.3918111111111111,,0.579025,,,,0.5033,,,,,0.6003333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09,,0.5117333333333334,,,0.4755333333333333,,,,0.5697777777777778,,0.5555888888888889,,,,0.4047,,,,,0.33385,,,,,0.5117333333333334,,,0.4755333333333333,,,0.4289611111111111,0.5697777777777778,0.4561958333333333,0.5555888888888889,,,0.5127944444444444,0.4047,,,,,0.33385,,,,,,,,,,,,,,,,,,,,,,,,,,
01-10,,,,,,,0.4435111111111111,0.4661111111111111,,0.3333666666666667,,,,0.5222888888888889,,,,,,,0.5332888888888889,,,,,,,0.4792999999999999,,0.4435111111111111,0.4661111111111111,0.5601944444444444,0.3333666666666667,,,,0.5222888888888889,0.47259375,,,,,,0.5332888888888889,0.6015217592592593,,,,,,,,,,,,,,,,,,,,,,,,
