system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate,2000_phenology,2001_phenology,2002_phenology,2003_phenology,2004_phenology,2005_phenology,2006_phenology,2007_phenology,2008_phenology,2009_phenology,2010_phenology,2011_phenology,2012_phenology,2013_phenology,2014_phenology,2015_phenology,2016_phenology,2017_phenology,2018_phenology,2019_phenology,2020_phenology,2021_phenology,2022_phenology
01-01,,,,,,,,,0.7897611111111111,0.81195,0.7948611111111111,,,0.7195,0.6516333333333333,,,,0.7273333333333334,,,,,,,,,,,,,0.7897611111111111,0.81195,0.7948611111111111,,,0.7195,0.6516333333333333,,,,0.7273333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02,,0.7621555555555556,,,0.2693444444444444,0.4476444444444444,0.7452666666666666,,0.81011,0.7202916666666667,0.6900999999999999,,,0.8155375,,0.5999,,0.6109,0.8083722222222223,0.4937833333333333,,,,,0.7621555555555556,,,0.2693444444444444,0.4476444444444444,0.7452666666666666,,0.81011,0.7202916666666667,0.6900999999999999,,,0.8155375,0.7352444444444444,0.5999,,0.6109,0.8083722222222223,0.4937833333333333,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,0.7934222222222223,0.7307,0.8188555555555556,,,,,,,,,,0.7798277777777778,,,,0.6120611111111112,,,0.7608494444444445,0.6822125,0.7697166666666666,,0.7934222222222223,0.7307,0.8188555555555556,0.68085,,,0.8051944444444444,0.5640805555555556,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04,,0.7975,,0.5122,,0.7764777777777778,,,0.7115888888888888,0.6441333333333333,0.8493333333333334,,0.2986,0.5740470588235295,0.8161333333333334,0.7618,,,,0.6343777777777778,,,0.5374333333333333,,0.7975,,0.5122,0.4683277777777778,0.7764777777777778,0.7452666666666666,,0.7115888888888888,0.6441333333333333,0.8493333333333334,,0.2986,0.5740470588235295,0.8161333333333334,0.7618,,0.6611666666666667,0.7889870370370371,0.6343777777777778,,,0.5374333333333333,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,0.4683277777777778,,0.8056833333333333,,,,,,0.5444888888888889,0.6374,,,,,0.8051944444444444,0.8757222222222222,0.7854166666666667,,,,0.804112962962963,,0.6513111111111112,0.4683277777777778,0.6841484444444443,0.8056833333333333,,,0.5699194444444444,0.7520277777777777,,0.5444888888888889,0.6374,0.7352444444444444,0.80565,,0.6871933333333333,0.8051944444444444,0.8757222222222222,0.7854166666666667,,0.5084333333333333,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,0.7904222222222222,0.68273125,,,0.3744,,0.4957055555555555,0.6547222222222222,,0.6494777777777778,0.639938888888889,,0.8495,0.4995,0.7114333333333334,0.7533944444444445,0.8285111111111111,,,0.4794333333333333,,0.8162777777777778,,0.7904222222222222,0.68273125,0.7870122222222222,0.7404,0.3744,0.6908152222222222,0.4957055555555555,0.6547222222222222,,0.6494777777777778,0.639938888888889,0.7247966666666668,0.8495,0.4995,0.7114333333333334,0.7533944444444445,0.8285111111111111,0.7702249999999999,,0.4794333333333333,,,,,,,,,,,,,,,,,,,,,,,
01-07,,0.8350111111111111,,,0.4046666666666667,,0.6751166666666667,0.79329375,,,0.5921666666666667,,0.6554222222222222,,,,,,0.8216388888888889,0.674,0.7550333333333333,,0.5251,,0.8350111111111111,,0.6520111111111112,0.4046666666666667,0.7935997222222222,0.6751166666666667,0.79329375,0.6277055555555555,0.6441333333333333,0.5921666666666667,,0.6554222222222222,0.7305603535353535,0.7375827777777778,0.743218253968254,,0.7410333333333333,0.8216388888888889,0.674,0.7550333333333333,,0.5251,,,,,,,,,,,,,,,,,,,,,,,
01-08,,,,,0.5660733333333333,0.7975466666666666,,,,,0.6478611111111111,,0.4250444444444444,0.8211818181818182,0.63346,,,,0.677711111111111,,0.7849666666666666,,0.5627888888888889,,0.8162777777777778,,0.6523611111111112,0.5660733333333333,0.7975466666666666,0.6949666666666667,0.7101000000000001,0.6227113333333334,0.6455583333333333,0.6478611111111111,,0.4250444444444444,0.8211818181818182,0.63346,0.80565,,0.7114333333333334,0.677711111111111,0.8285111111111111,0.7849666666666666,,0.5627888888888889,,,,,,,,,,,,,,,,,,,,,,,
01-09,,0.7975444444444444,,0.5143,0.715911111111111,,0.7148166666666667,,,,,0.5883333333333333,,,,,,0.7706333333333333,,,0.8131944444444444,,,,0.7975444444444444,,0.5143,0.715911111111111,0.8067747222222222,0.7148166666666667,0.7389192129629629,0.62957,0.7434499999999999,0.744887962962963,0.5883333333333333,0.5304861111111111,0.6679464646464647,0.7375827777777778,0.7365777777777778,,0.7706333333333333,0.7533944444444445,0.8132555555555556,0.8131944444444444,,0.5605152777777778,,,,,,,,,,,,,,,,,,,,,,,
01-10,,,,,0.7505428571428572,,,0.7101000000000001,0.5438222222222222,0.7954111111111112,,,0.6359277777777778,0.5147111111111111,,,,0.5751888888888889,,,0.5691933333333333,,0.5582416666666666,,0.794138888888889,,0.5143,0.7505428571428572,0.8133622222222222,0.7779958333333333,0.7101000000000001,0.5438222222222222,0.7954111111111112,0.6879752645502645,0.6037555555555556,0.6359277777777778,0.5147111111111111,0.7503688888888889,0.7365777777777778,0.8078666666666666,0.5751888888888889,0.7512722222222221,0.8359472222222223,0.5691933333333333,,0.5582416666666666,,,,,,,,,,,,,,,,,,,,,,,
01-11,,0.7907333333333334,,,0.6954555555555556,,0.841175,,0.6446066666666667,0.7777,,0.6191777777777778,0.7018333333333333,,,0.5625,,,,0.9525111111111112,0.8134277777777777,,,,0.7907333333333334,,0.4135666666666666,0.6954555555555556,0.8138161111111111,0.841175,0.7133638888888889,0.6446066666666667,0.7777,0.6478611111111111,0.6191777777777778,0.7018333333333333,0.5147111111111111,0.7503688888888889,0.5625,0.7591333333333333,0.67951,0.7166809523809523,0.9525111111111112,0.8134277777777777,,0.6292041666666667,,,,,,,,,,,,,,,,,,,,,,,
01-12,,,0.7963111111111111,,,0.8291777777777778,,0.7166277777777778,0.5858333333333333,,,,0.5996888888888888,,0.8672777777777778,0.7977333333333333,,,0.8248333333333333,,0.8376444444444444,,0.7001666666666667,,0.7975444444444444,0.7963111111111111,0.4135666666666666,0.715911111111111,0.8291777777777778,0.8338333333333333,0.7166277777777778,0.5858333333333333,0.7434499999999999,0.744887962962963,,0.5996888888888888,0.5122777777777778,0.8672777777777778,0.7977333333333333,0.8038588888888889,0.6384944444444445,0.8248333333333333,0.8359472222222223,0.8376444444444444,,0.7001666666666667,,,,,,,,,,,,,,,,,,,,,,,
01-13,,,,0.3128333333333333,,,,,,0.7091999999999999,,,0.6744222222222223,,,,0.8380777777777778,,,,,,,,0.7967907407407407,,0.3128333333333333,0.6926648638596853,0.8147238888888889,0.8375041666666667,0.7497011111111112,0.62957,0.7091999999999999,0.7763,,0.6744222222222223,0.5122777777777778,0.7718152777777778,0.6974916666666666,0.8380777777777778,0.7026966666666666,0.7166809523809523,0.858638888888889,0.6942138888888889,,0.7380651515151515,,,,,,,,,,,,,,,,,,,,,,,
01-14,,,,,,,,,,,,,0.74162,0.5098444444444444,,0.5972500000000001,0.8078666666666666,0.7018,0.6085285714285714,,0.5507833333333333,,0.7759636363636364,,0.8055,,0.5143,0.7505428571428572,0.8151777777777778,0.8338333333333333,0.7750138888888889,0.6853670370370369,0.7533722222222221,0.7480817580567581,0.5873962962962963,0.74162,0.5098444444444444,0.7877842222222222,0.5972500000000001,0.8078666666666666,0.7018,0.6085285714285714,0.85642,0.5507833333333333,,0.7759636363636364,,,,,,,,,,,,,,,,,,,,,,,
01-15,,,,,,,0.8338333333333333,,,0.7975444444444444,0.7763,,0.7425888888888889,0.675825,,,,,0.8071444444444444,0.7647666666666667,0.8596111111111111,,,,0.8024637566137567,,0.4888566666666666,0.7507272486772486,0.8164899999999999,0.8338333333333333,0.7945877777777779,0.6145333333333334,0.7975444444444444,0.7763,0.6191777777777778,0.7425888888888889,0.675825,0.8127277777777778,0.697434375,0.8060777777777778,0.7666,0.8071444444444444,0.7647666666666667,0.8596111111111111,,0.7568318181818182,,,,,,,,,,,,,,,,,,,,,,,
01-16,,0.8055,,,,0.8011777777777778,0.81165,0.8334,,,,,,0.4780666666666667,,0.79761875,,0.8314,,0.85642,0.7542555555555556,0.7998722222222222,,,0.8055,,0.53905,0.7617166666666667,0.8011777777777778,0.81165,0.8334,0.6468310052910053,0.7937040404040403,0.8105027777777778,0.5906665343915344,0.7032388888888889,0.4780666666666667,0.8127277777777779,0.79761875,0.7954111111111111,0.8314,0.6396333333333333,0.85642,0.7542555555555556,0.7998722222222222,0.7662151515151515,,,,,,,,,,,,,,,,,,,,,,,
01-17,,,,,,0.8084777777777777,,,0.8256611111111111,0.7898636363636363,,,0.6638888888888889,,,,,,0.4721222222222222,,,0.8830555555555556,0.7564666666666666,,0.8059444444444445,,0.53905,0.7347626228269085,0.8084777777777777,0.8117944444444444,0.8144972222222222,0.8256611111111111,0.7898636363636363,0.7763,0.5984693783068783,0.6638888888888889,0.675825,0.7854527777777778,0.7984927083333333,0.8038588888888889,0.7844070634920636,0.4721222222222222,0.8412627777777777,0.6795777777777778,0.8830555555555556,0.7564666666666666,,,,,,,,,,,,,,,,,,,,,,,
01-18,,,,,,,,,0.6145333333333334,0.86105,0.8447055555555556,0.5392555555555556,0.7642705882352941,,0.7581777777777778,0.7993666666666667,0.7829555555555555,,,0.8261055555555555,0.6049,,,,0.8063888888888889,0.8073333333333333,0.6521583333333334,0.7347626228269085,0.828438888888889,0.81165,0.8334,0.6145333333333334,0.86105,0.8447055555555556,0.5392555555555556,0.7642705882352941,0.6747462962962963,0.7581777777777778,0.7993666666666667,0.7829555555555555,0.8211,0.6782155555555555,0.8261055555555555,0.6049,,0.7639050505050505,,,,,,,,,,,,,,,,,,,,,,,
01-19,,0.8063888888888889,,0.7652666666666667,,0.8484,0.7899,0.7955944444444445,0.6271666666666667,,0.7018722222222222,0.6804222222222223,0.7260388888888889,0.8153555555555555,,0.8755666666666667,0.7956833333333333,,,0.8613222222222222,,,,,0.8063888888888889,0.7951322222222222,0.7652666666666667,0.7188113316217213,0.8484,0.7899,0.7955944444444445,0.6271666666666667,0.7937040404040403,0.7018722222222222,0.6804222222222223,0.7260388888888889,0.8153555555555555,0.7854527777777778,0.8755666666666667,0.7956833333333333,0.8461527777777778,0.6481,0.8613222222222222,0.6795777777777778,0.8779055555555555,0.7639050505050505,,,,,,,,,,,,,,,,,,,,,,,
01-20,,0.8209,,,0.8061833333333334,0.7971055555555555,0.8418888888888889,0.8846,0.5747222222222222,,0.8143333333333334,,0.6941888888888889,0.7308166666666667,,0.6348277777777778,0.8373777777777778,,,,,,,,0.8209,0.7957216666666667,0.6969633597883599,0.8061833333333334,0.7971055555555555,0.8418888888888889,0.8846,0.5747222222222222,0.8231805555555556,0.8143333333333334,0.5898861111111111,0.6941888888888889,0.7308166666666667,0.7877759259259259,0.6348277777777778,0.8373777777777778,0.8343888888888888,0.72411,0.8431753333333333,0.746412037037037,0.8727555555555555,0.76275,,,,,,,,,,,,,,,,,,,,,,,
01-21,,0.8233333333333334,,,0.7617166666666667,,0.7667133333333334,0.8142166666666667,,,0.8359444444444445,0.49935,0.5609666666666666,,,0.6711222222222223,0.8107666666666666,0.8211,0.8240777777777778,,0.8169,0.8727555555555555,,,0.8233333333333334,0.7868094444444445,0.6969633597883599,0.7617166666666667,0.8119444444444444,0.7667133333333334,0.8142166666666667,0.6932611111111111,0.8062066666666666,0.8359444444444445,0.49935,0.5609666666666666,0.7572777777777778,0.7753722222222222,0.6711222222222223,0.8107666666666666,0.8211,0.8240777777777778,0.8431753333333333,0.8169,0.8727555555555555,0.7721821212121212,,,,,,,,,,,,,,,,,,,,,,,
