system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,0.8971222222222223,,0.8347277777777777,,,0.80675,0.7982777777777778,0.86015,0.8866066666666667,0.6149444444444444,0.89845,0.7507833333333334,,0.8226555555555556,,,0.92,,,0.8280555555555555
01-02,,0.6623285714285715,0.7862750000000001,,,,,,,,,,0.7358444444444444,0.8601111111111112,,0.8362,0.8646888888888888,0.8263222222222222,0.3731611111111111,0.9527,,0.8710444444444444,
01-03,,,0.3325666666666667,,0.839488888888889,0.6638833333333334,,,,0.8395222222222223,,0.5156625,,,0.6934,0.8424555555555555,,0.523164705882353,,0.7353999999999999,,0.8554555555555555,
01-04,,,0.41715,,0.88629,,0.7451,0.8490666666666666,,,,,0.8531666666666666,0.8303333333333334,0.9951,0.8292875,,,0.8024444444444444,,0.7534000000000001,,
01-05,,,,,,,,,,0.5327000000000001,0.6196888888888888,,0.8531777777777778,0.8619444444444444,,,,,0.8267777777777778,0.8748444444444444,,,
01-06,,0.8064888888888889,0.4611,,,0.6232,,,,,0.7774777777777778,,0.8582666666666666,0.7151777777777778,,0.8453833333333334,0.8805000000000001,,,,,0.8958555555555555,0.8633666666666666
01-07,,,,0.38087272727272725,,0.8249833333333334,,,,0.41845,0.8392444444444445,0.5730875,0.6364,,,,,0.7477,,,0.8590666666666666,,
01-08,,0.86178,,0.8738722222222222,0.8912,,,,0.47873333333333334,,,,,0.7867,,,,,,0.7289125,0.8378,,
01-09,,,,,,0.70234,,,,,,,0.8957388888888889,0.8254722222222223,0.5233333333333333,,,0.7690444444444444,,0.8576333333333334,0.6398666666666667,0.9295,0.7295777777777778
01-10,,,,,,0.8390625,0.7810222222222222,0.8492611111111111,,,0.7661555555555556,,0.8822277777777778,0.8402944444444445,0.8723444444444445,,,,0.7955777777777778,0.8726333333333334,0.70415,,
01-11,,0.5313444444444445,0.49607142857142855,0.621725,,,,0.9113384615384615,0.4854266666666667,,,,,0.8096222222222222,,0.7982111111111111,0.7137333333333333,0.5666666666666667,,,0.8299071428571428,,0.8047777777777778
01-12,,,,0.5352583333333333,0.81574,0.7938166666666667,,,,,0.6524888888888889,,0.9235058823529412,0.6637636363636363,0.75785,0.8604533333333334,0.9232,,,,0.8624777777777778,,0.8006882352941176
01-13,,,,,0.85045,,0.8329777777777778,,0.8948166666666667,,,0.84611,0.8647777777777778,0.6688111111111111,0.6195444444444445,0.8323444444444444,,0.7694888888888889,0.5022388888888889,,0.7283333333333333,,0.7944222222222223
01-14,,0.3217777777777778,,,0.8333777777777778,,0.8706444444444444,0.6044555555555555,,,,,0.9240866666666666,0.7830888888888888,0.7369388888888889,,0.941825,0.8188384615384615,0.8224,,,,0.5598111111111111
01-15,,0.7865666666666666,,0.63015,0.8202555555555555,,0.5995571428571429,0.8353444444444444,,0.7620777777777777,0.8613642857142857,,,,,0.78818,,,,,0.8254888888888889,,
01-16,,,0.7012,,0.8281,0.7667888888888889,,0.831125,,,0.8491,0.5213625000000001,0.7581375,0.82251875,,0.7788333333333334,,,0.6634111111111111,0.7577888888888888,0.7380111111111112,0.9886,
