system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,,,,,,,,,,,
01-04,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,,,0.0306,,,,,0.04067777777777778,,,,,,,,,,,,
01-07,,,0.23904444444444445,,0.03485,,,,,,,0.5083555555555556,,,,0.48601666666666665,,0.5165222222222222,,,0.5770333333333333,,
01-08,,,,0.5299555555555555,,,,,0.7301166666666666,,0.23471666666666666,,0.4451,0.4650888888888889,0.5378111111111111,,0.3005555555555556,,,0.5367222222222222,,,0.4129222222222222
01-09,,,,,0.375,0.5241222222222223,0.5317777777777778,,,,,0.4584111111111111,,,,0.5044555555555555,0.37312222222222224,0.5488666666666666,,0.49366666666666664,0.5250777777777778,,
01-10,,0.31903333333333334,,0.21767777777777778,,,,0.5143777777777778,0.29467777777777776,,,0.46636666666666665,0.5721111111111111,0.5557555555555556,0.37222222222222223,,0.5849888888888889,,,,,0.5582,0.5854666666666667
01-11,,0.4354111111111111,0.5440444444444444,,0.38863333333333333,,0.43624444444444443,,0.5379666666666667,,0.5108111111111111,,,0.5586777777777778,,0.5461666666666667,0.5524666666666667,,0.5468666666666667,0.44066666666666665,0.5128666666666667,,
01-12,,0.47969999999999996,,0.5435444444444444,0.5238499999999999,0.5175055555555556,,0.49563333333333337,0.5513666666666667,,0.4443777777777778,,0.5352555555555556,0.5671888888888889,0.5718333333333333,,0.4557777777777778,,,,0.4595666666666667,0.4707,
01-13,,,,,0.5492111111111111,,0.46163333333333334,0.5458555555555555,,,,0.5260333333333334,0.6126555555555555,0.47731111111111113,,,0.4723888888888889,0.61325,,0.4692777777777778,0.5803666666666667,,0.6237833333333334
01-14,,,,0.5548166666666667,0.5305777777777778,,,0.6011,0.4247388888888889,,0.5064,,0.34524444444444446,,,0.8210555555555555,0.9009222222222223,,0.7212777777777778,0.6265777777777778,0.8683666666666666,0.8976888888888889,0.5540666666666667
01-15,,0.8182111111111111,,,0.8961666666666667,,0.547188888888889,0.9009222222222222,,,0.8784666666666667,,0.8660222222222222,,,0.6960222222222222,,0.6827555555555556,,0.9372388888888888,,,
01-16,,0.9371777777777778,,,0.8806444444444445,,,0.8868666666666667,0.47425555555555554,,0.5954,0.5762333333333334,,0.9083444444444444,,0.8625111111111111,0.5556833333333333,,,0.8933333333333333,0.9347333333333333,0.9472388888888889,0.6605166666666666
