system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,,,,,,,,,,,
01-04,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,,,,,,,,,,,,,,,,,,,,
01-07,,,,,,,,,,,,,,,,,,0.11626,,,,0.7416,
01-08,,,,0.020200000000000003,,0.0378,,0.3918111111111111,,0.579025,,,,0.5033,,,,,0.6003333333333333,,,,
01-09,,0.5117333333333334,,,0.4755333333333333,,,,0.5697777777777778,,0.5555888888888889,,,,0.4047,,,,,0.33385,,,
01-10,,,,,,,0.44351111111111113,0.46611111111111114,,0.3333666666666667,,,,0.5222888888888889,,,,,,,0.5332888888888889,,
01-11,,,,,0.48306666666666664,,,,0.5506111111111112,0.4055888888888889,,,,,0.5404875,,,,,,,,
01-12,,,,,,,0.7321,,0.1628,,,0.1019,,,0.4963,0.479575,,,,0.5337777777777778,0.3744,0.467725,
01-13,,,,0.3739,0.49414,0.5066222222222222,,,0.559275,,,,0.4857222222222222,,,,,,0.32963333333333333,,0.5894666666666667,,
01-14,,0.5468,,0.4397666666666667,0.351,,0.51,,0.6721,,,,0.38849999999999996,,,,,,,,0.3327,0.7227555555555556,
01-15,,0.4013888888888889,,,0.45471176470588237,,0.41789444444444446,0.7678555555555555,0.4222,,,,,,,,0.7372444444444445,,,,,,0.8266888888888889
01-16,,0.5291777777777777,0.8782555555555556,,,,0.6859555555555555,,,0.6453777777777778,0.49171666666666664,,0.44704444444444447,,,,,0.51212,0.5537555555555556,,,0.5589,0.9162111111111111
01-17,,,0.6286222222222222,,,,0.7552,,,,0.94474,,0.8506944444444444,,,0.73535,,,,,,0.9321333333333334,
01-18,,,,0.5850833333333334,0.5523333333333333,,,,0.6756333333333333,,,,0.8213333333333334,,,0.6699,,,0.7723555555555556,,,,
01-19,,,,,,,,0.7798,,0.8217833333333333,,,,,0.8265,,,0.4966,0.5439333333333334,,,,
01-20,,,,,0.8066588235294118,,,,,0.8097333333333333,0.6542,0.34068,0.5944111111111111,0.8472555555555555,,,0.5739299999999999,0.8275636363636364,0.6375,0.8685777777777778,,,
01-21,,,,,0.7115555555555556,0.7763555555555556,,,0.5388333333333333,0.924535294117647,0.7667555555555555,,,0.8316111111111111,0.4997666666666667,,0.8822222222222222,0.8528166666666667,0.8309,0.8936222222222222,0.7629666666666667,,0.8272222222222222
