system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,,,,,,,,,,,
01-04,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,,,,,,,,,,,,,,,,,,,,
01-07,,,,,,,,,,,,,,,,,,,,,,,
01-08,,,,,,,,,,,,,,,,,,,,,,,
01-09,,,,,,,,,,,,,,,,,,,,,,,
01-10,,,,,,,,,,,,,,,,,,,,,,,
01-11,,,,,,,,,,,,,,0.37091111111111114,,,,,,,,,
01-12,,0.584,,,,,,,,,0.3834444444444445,0.0179,,,,,,,,0.5366111111111111,,,
01-13,,,,0.4996230769230769,,,,,,,,,,0.5465888888888889,,,,,,,,,0.47188888888888886
01-14,,0.51105,,0.34986666666666666,,,,,0.4229857142857143,,,,,,,,,,,0.5915,,,
01-15,,,,0.41242222222222225,,,0.3802666666666667,,,,,,,0.3916222222222222,,,0.6012444444444445,,,,0.1717,0.367575,
01-16,,,,,,,0.43992000000000003,,,0.5218333333333334,0.5460111111111111,,,,0.34388,,,,0.355,,,,
01-17,,,,,,0.7105,,,0.5594666666666667,0.5144299999999999,,,0.21773333333333333,,,0.792475,0.5518555555555555,,0.4567,0.701675,0.1572111111111111,0.54495,0.37583333333333335
01-18,,0.5327555555555555,,0.5136785714285714,0.5613055555555555,0.3498,0.3116333333333333,0.5632055555555555,,,,,,,,,0.7033111111111111,0.3239222222222222,,,,0.4845222222222222,
01-19,,0.7308888888888889,,,0.3703277777777778,,,,,,,0.0604,0.41097500000000003,,,,0.6190333333333333,,,,,,1.0968
01-20,,0.5107222222222222,,0.7444111111111111,0.6819999999999999,0.5866666666666667,1.11185,0.7985666666666666,0.7865888888888889,,0.9128428571428571,,0.37520000000000003,0.477,,0.6823888888888889,,0.8797666666666667,0.8347833333333333,,0.24684,,0.5813111111111111
01-21,,0.8295,,,0.5312,,0.41165555555555555,0.8571,,0.7669111111111111,0.8934333333333333,,,,0.8973333333333333,0.8235250000000001,0.8965333333333333,0.9499833333333333,0.8986333333333333,,0.38545555555555555,0.36144444444444446,
01-22,,,,0.7560777777777777,0.7755666666666666,,0.8439571428571429,0.7008222222222222,,0.801611111111111,,0.1441888888888889,,0.858225,0.7545111111111111,,,,0.8711166666666667,,,0.7532333333333333,
