system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,,,,,,,,,,,
01-04,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,,,,,,,,,,,,,,,,,,,,
01-07,,,,,,,,,,,,,,,,,,,,,,,
01-08,,,,,,,,,,,,,,,,,,,,,,,
01-09,,,,,,,,,,,,,,,,,,,,,,,
01-10,,,,,,,,,,,,,,,,,,,,,,,
01-11,,,,,,,,,,,,,,,,,,,,,,,
01-12,,,,,,,,,,,,,,,,,,,,,,,
01-13,,,,,,,,,,,,,,,,,,,,,,,
01-14,,,,,,,,,,,,,,,,,,,,,,,
01-15,,,,,,,,,,,,,,,,,,,,,,,
01-16,,,,,,,,,,,,,,,,,,,,,,,
01-17,,,,,,,,,,,,,,,,,,,,,,,
01-18,,,,,,,,,,,,,,,,,,,,,,,
01-19,,,,,,,,,,,,,,,,,,,,,,,
01-20,,,,,,,,,,,,,,,,,,,,,,,
01-21,,,,,,,,,,,,,,,,,,,,,,,
01-22,,,,,,,,,,,,,,,,,,,,,,,
01-23,,,,,,,,,,,,,,,,,,,,,,,
01-24,,,,,,,,,,,,,,,,,,,,,,,
01-25,,,,,,,,,,,,,,,,,,,,,,,
01-26,,,,,,,,,,,,,,,,,,,,,,,
01-27,,,,,,,,,,,,,,,,,,,,,,,
01-28,,,,,,,,0.0257,,,,,,0.5122222222222222,,,,,,,,,0.5012
01-29,,,,,,,,,,,,,0.0263,,,0.036033333333333334,,,,0.5602666666666667,,,
01-30,,,0.5410999999999999,,,0.5455,,,,,,0.5562111111111111,0.06877142857142857,,0.3845222222222222,,,,,,,,
01-31,,,,,,,0.5376,,,,0.5720666666666666,0.5566111111111111,,,,0.40704444444444443,,,,0.55225,,0.5251142857142858,
02-01,,,,,,0.6202166666666666,,0.35463333333333336,0.45074444444444445,0.7103,,0.4336611111111111,0.3471388888888889,,0.463175,,0.5953444444444445,0.7675666666666667,,0.5600777777777778,,,
02-02,,0.3534555555555556,0.5845333333333333,,0.6666555555555556,,,0.5367666666666667,0.5839,0.5478777777777778,0.5244555555555556,0.8258,,0.5191,,0.640925,0.5393777777777778,0.8581166666666666,0.7437666666666667,0.8456222222222223,,,
02-03,,,,0.9031,0.44856666666666667,,,,0.8984933333333334,,,0.924,,0.8365,,,,,,0.8941666666666667,,0.8731,
