system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,,,,,,,,,,,
01-04,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,,,,,,,,,,,,,,,,,,,,
01-07,,,,,,,,,,,,,,,,,,,,,,,
01-08,,,,,,,,,,,,,,,,,,,,,,,
01-09,,,,,,,,,,,,,,,,,,,,,,,
01-10,,,,,,,,,,,,,,,,,,,,,,,
01-11,,,,,,,,,,,,,,,,,,,,,,,
01-12,,,,,,,,,,,,,,,,,,,,,,,
01-13,,,,,,,,,,,,,,,,,,,,,,,
01-14,,,,,,,,,,,,,,,,,,,,,,,
01-15,,,,,,,,,,,,,,,,,,,,,,,
01-16,,,,,,,,,,,,,,,,,,,,,,,
01-17,,,,,,,,,,,,,,,,,,,,,,,
01-18,,,,,,,,,,,,,,,,,,,,,,,
01-19,,,,,,,,,,,,,,,,,,,,,,,
01-20,,,,,,,,,,,,,,,,,,,,,,,
01-21,,,,,,,,,,,,,,,,,,0.32614,,,,,
01-22,,0.2927666666666667,,0.3045333333333333,,,,,0.4641111111111111,0.49777777777777776,,,,,,,,,,,,,
01-23,,,0.2675,0.021633333333333334,,,0.5647333333333333,,,,,0.2759333333333333,,,,0.3456166666666667,,,,,0.34325,,
01-24,,0.3357,,0.31223333333333336,,,0.44930000000000003,,0.46266666666666667,,,,,,,,,0.37027777777777776,,,0.38582222222222223,,
01-25,,0.4311,0.2642111111111111,0.34523333333333334,,,0.31595,0.4118833333333333,,0.37693333333333334,,0.7299,,0.3434833333333333,0.3395666666666667,0.3217,,0.6363333333333333,0.37904444444444446,,,0.3640888888888889,
01-26,,,0.46504999999999996,0.34426666666666667,,,0.4151888888888889,,0.44225555555555557,,,,0.47854166666666664,0.36767222222222223,0.26958666666666664,0.33208333333333334,0.40745,0.341325,0.3836333333333333,,0.44750666666666666,0.29635,0.489175
01-27,,,,0.4079,0.5262266666666666,,0.37943333333333334,,0.7534666666666666,,,0.4073,0.45147333333333334,,,0.7841833333333333,,,0.42115,,0.45666666666666667,0.3681333333333333,
01-28,,,,0.29084166666666667,,0.8355,,0.5554833333333333,0.5815444444444444,0.4738266666666667,,0.4909733333333333,0.404675,0.33293333333333336,0.24034444444444444,,0.33925833333333333,0.5460333333333334,0.8075,,0.49854444444444446,0.33176666666666665,
