system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,,,,,,,,,,,
01-04,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,,,,,,,,,,,,,,,,,,,,
01-07,,,,,,,,,,,,,,,,,,,,,,,
01-08,,,,,,,,,,,,,,,,,,,,,,,
01-09,,,,,,,,,,,,,,,,,,,,,,,
01-10,,,,,,,,,,,,,,,,,,,,,,,
01-11,,,,,,,,,,,,,,,,,,,,,,,
01-12,,,,,,,,,,,,,,,,,,,,,,,
01-13,,,,,,,,,,,,,,,,,,,,,,,
01-14,,,,,,,,,,,,,,,,,,,,,,,
01-15,,,,,,,,,,,,,,,,,,,,,,,
01-16,,,,,,,,,,,,,,,,,,,,,,,
01-17,,,,,,,,,,,,,,,,,,,,,,,
01-18,,,,,,,,,,,,,,,,,,,,,,,
01-19,,,,,,,,,,,,,,,,,,,,,,,
01-20,,,,,,,,,,,,,,,,,,,,,,,
01-21,,,,,,,,,,,,,,,,,,,,,,,
01-22,,,,,,,,,,,,,,,,,,,,,,,
01-23,,,,,,,,,,,,,,,,,,,,,,,
01-24,,,,,,,,,,,,,,,,,,,,,,,
01-25,,,,,,,,,,,,,,,,,,,,,,,
01-26,,,,,,,,,,,,,,,,,,,,,,,
01-27,,,,,,,,,,,,,,,,,,,,,,,
01-28,,,,,,,,,,,,,,0.5434222222222223,,,0.5283888888888889,,,,,,
01-29,,,,,0.3242111111111111,,,,,,0.4276888888888889,,,0.5417000000000001,,,,0.6528444444444444,,0.5886666666666667,0.03213333333333333,0.5328666666666667,
01-30,,,,,,0.7975,,,,,0.4610888888888889,,0.49406666666666665,,,,,,,0.536,,,
01-31,,0.47536666666666666,,,0.5225666666666666,,0.5283166666666667,0.5008666666666667,,0.7728333333333334,,0.4400222222222222,,0.3665888888888889,0.7894111111111111,0.5033888888888889,0.5192777777777777,,0.5886083333333334,0.4855111111111111,0.5150222222222223,,0.5420666666666667
02-01,,0.8781111111111111,,,0.47626111111111114,0.8352777777777778,0.5231944444444444,0.6766166666666666,0.6172166666666666,,,,0.493,,0.34785,0.6088666666666667,,,,,0.4083611111111111,0.9035722222222222,0.8378388888888889
02-02,,0.8300777777777778,0.9007888888888889,,,0.9030333333333334,,0.8741,,,0.5161833333333333,,,,,,,,,,0.6247,0.4454777777777778,
