system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01-01,,,,,,,,0.5305333333333333,0.5166888888888889,,,0.5106555555555555,0.48302222222222224,0.5150666666666667,0.5114333333333333,,0.5557444444444445,0.5875888888888889,0.4911,,,,
01-02,,0.5395,,0.5188,0.4257666666666667,0.7310666666666666,0.4094555555555556,,0.5288,0.03821666666666666,,0.40593333333333337,,,0.5551666666666667,0.5338666666666667,0.44148333333333334,0.5309,,,0.5789333333333333,0.54745,
01-03,,,,,,,,,,0.45934444444444444,,0.4807,0.44556666666666667,,,,,,0.48623333333333335,,,,0.35862222222222223
01-04,,,,0.3237888888888889,,0.30333333333333334,,0.039,,,,0.30935,0.5244666666666666,,,0.5366666666666666,,0.44064444444444445,0.5371444444444444,0.40015555555555554,,,0.024233333333333332
01-05,,,,,,,,0.45432222222222224,,,,0.6972,0.5110428571428571,0.5281666666666667,0.03253333333333333,0.5054,0.4619111111111111,0.5104777777777778,0.6305428571428572,0.595,,0.42991666666666667,
01-06,,,,,0.5366111111111111,0.5469777777777778,0.4369111111111111,,0.3762666666666667,,0.5502444444444444,,0.6413,0.5711333333333334,0.7209333333333333,,,0.42395555555555553,0.40292222222222224,0.3024,,,0.6586
01-07,,,,0.54886,0.5182777777777778,0.5277111111111111,0.4748,,,0.4665,0.6241444444444445,0.43989999999999996,0.4393,,0.5427333333333333,,0.39581666666666665,0.5015222222222222,,,0.4323,0.6223,0.7789666666666667
01-08,,0.5374111111111112,0.15695,,0.5079777777777778,0.4537555555555555,0.4742166666666667,,,,0.6691666666666667,0.4844111111111111,0.5354,0.8218333333333333,0.7608111111111111,0.4467111111111111,0.37274444444444443,0.4824222222222222,,0.5337,0.6704333333333333,0.5474222222222223,
01-09,,,,,,0.7647222222222223,0.8946388888888889,0.4515222222222222,,,,0.3079733333333333,0.5973333333333334,0.6428722222222222,,,0.29302222222222224,0.8144888888888889,0.5422166666666667,,0.7178611111111111,0.9393,
01-10,,,,,0.4752538461538462,,0.8982444444444445,,0.3768666666666667,,0.5616333333333333,,0.9061333333333333,0.8705333333333334,0.8618555555555555,,,0.7921555555555555,,,0.7988444444444445,0.4310888888888889,0.8503444444444445
01-11,,0.5651333333333333,0.5074555555555555,,0.7165,,,,0.5108583333333333,,,0.4168,,1.0307333333333333,,0.8474,,,,,0.8751277777777777,0.49279999999999996,
01-12,,,,,,0.7727666666666666,0.38008888888888887,,0.9492111111111111,,,,,0.8091722222222222,,0.7606375000000001,,,,,0.9192888888888889,,
01-13,,,,,0.8933888888888889,,0.84568,,0.9591444444444445,0.41785555555555554,,0.37934285714285715,0.8775333333333333,,0.7097333333333333,0.8045666666666667,,0.8695066666666666,,,0.9430833333333334,,0.8789444444444444
01-14,,0.6442,,0.8634636363636363,,,,0.6908,,,0.7972888888888888,,0.8344555555555556,0.7676,,0.5108777777777778,0.8953333333333333,0.6624944444444445,0.8259000000000001,,0.8496388888888888,0.3717,
01-15,,0.6343222222222222,,,0.8461,,0.8047833333333333,,,,0.8223222222222222,,0.8619888888888889,,,0.8002888888888889,,0.26875,,,0.7918944444444445,0.9749666666666666,
01-16,,,0.8097666666666666,,0.8648666666666667,,0.5970666666666666,,,,,1.0754,,0.6819333333333333,0.47454444444444444,0.8431333333333333,,,0.33613333333333334,,0.6549666666666667,,0.6515111111111112
01-17,,0.7527,,,0.84345,0.81055,0.4498666666666667,1.0060555555555555,,0.5562,0.4088111111111111,0.8334444444444444,0.8544437500000001,,0.6908,0.7887722222222222,0.8926,,,0.8370777777777778,0.7965333333333333,,
01-18,,0.8911111111111111,,,,0.7786666666666667,,0.8223,,,0.7729909090909091,0.5446333333333333,0.5477666666666666,,,0.83265,0.6585888888888889,0.6990444444444445,,,,,0.8337
01-19,,,,0.7825222222222222,0.8316555555555556,0.8075777777777778,,0.8429777777777777,,,0.7578714285714285,,,,0.7446111111111111,0.8291000000000001,0.8281777777777778,,,0.3985944444444445,,0.8747777777777778,
01-20,,,0.9256166666666668,0.44129999999999997,,,,0.8457833333333333,,,0.8693222222222222,0.7577888888888888,,0.38148333333333334,,,0.4320277777777778,,0.8215666666666667,0.5280444444444444,0.8273222222222222,,0.8737
01-21,,,,,0.8181666666666667,,,0.6951111111111111,,0.6470666666666667,0.6100588235294118,,,0.8058500000000001,0.5024888888888889,0.8166666666666667,,,0.8412888888888889,0.882125,,0.6975,
01-22,,,0.9477,0.475,,0.8418111111111112,0.5946222222222223,0.7852777777777777,0.5902285714285714,0.48556666666666665,,0.8376666666666667,,0.5058666666666667,,0.5783111111111111,0.8185222222222223,,0.8550800000000001,,0.8354333333333334,0.8046,
01-23,,,0.7090666666666666,,,0.8170555555555555,0.8419888888888889,0.8044333333333333,0.9085,0.6702555555555555,,0.8956333333333333,0.7282111111111111,,0.5038222222222223,0.40952222222222223,0.8419166666666666,0.6881555555555555,0.857,0.8283333333333334,,,0.6549
01-24,,,,,0.9007,,,0.8302499999999999,,0.8243333333333334,,0.5654222222222223,,,,,0.8506555555555555,0.6512,,0.8341666666666666,0.4236888888888889,,0.8008111111111111
01-25,,,0.8044,0.34706666666666663,,,0.6916777777777777,,,0.8608,,,,0.8407777777777777,0.8132,0.8445125,0.8089555555555555,,,0.6315764705882353,0.8178,0.35714444444444443,
01-26,,,,,,0.82704,,0.8215,,0.8739444444444444,0.4508333333333333,,,,0.599675,,,,,,0.5902444444444445,0.4295,
01-27,,0.8421555555555555,0.9135,,0.75946,0.8267111111111112,,0.82756875,,,0.8584555555555555,0.8915444444444445,0.5585666666666667,0.8466416666666666,0.8638333333333333,,0.81686,0.8294166666666667,0.5671222222222223,0.8459222222222222,0.7945222222222222,0.7046333333333333,0.79395
01-28,,,,,0.8281555555555555,,,,,0.6760666666666667,0.8140611111111111,,0.7885111111111112,,0.8719,,,0.6706555555555556,0.8464333333333334,0.6643444444444444,0.8877,0.8145444444444444,0.6084909090909091
01-29,,,,0.7620222222222223,,,0.4467222222222222,0.48857272727272727,,,,,0.7987,0.6975277777777777,,0.8035,0.8467,0.80960625,0.7344888888888889,0.7124333333333334,,,
01-30,,,0.8339,,0.7830666666666667,0.5059222222222223,0.43781666666666663,0.7901111111111111,,,,0.7369555555555556,0.70595,0.8255,0.7938000000000001,,0.8383777777777778,0.79605,,0.806,,,0.8214555555555555
01-31,,0.8351666666666666,,,0.33391666666666664,,0.9118,,,,0.7938000000000001,,,0.44932222222222223,,0.48056666666666664,0.8044444444444444,,0.8275,,,0.6385444444444445,0.4658333333333333
02-01,,,,0.7872,0.6509166666666667,0.7486888888888888,0.85264,,0.7829133333333333,0.8138416666666667,,,0.7861166666666667,0.8527,,0.8226888888888889,0.8359777777777778,,0.8279,,,,0.7727888888888889
02-02,,,,0.84416,,,0.8300055555555556,0.7828444444444445,0.8373222222222222,0.8650888888888889,,,0.31156666666666666,,,,0.8188444444444444,0.8041444444444444,0.8106375,0.67016,0.7152,,0.5754222222222223
02-03,,0.8604888888888889,0.8106444444444445,0.8333857142857143,0.8394333333333334,,0.8390333333333333,0.7520888888888889,0.8264411764705882,0.8196,0.5698,,,,0.7841555555555555,,,0.4678777777777778,0.76504,0.5794727272727273,0.7825777777777778,0.8456333333333333,0.71062
02-04,,0.8147333333333333,,0.8445333333333334,0.8484416666666666,,0.8280066666666667,,,,,0.8506166666666667,0.8608666666666667,,0.8340555555555556,0.8214214285714285,,,,0.7272058823529411,0.8699117647058824,,
02-05,,,,,0.8616,0.8215777777777777,,,0.555075,0.8194277777777778,,,,0.81985,,,0.8001555555555555,0.8252333333333334,,0.852075,0.8148166666666666,,0.8197111111111111
02-06,,0.8356,,,0.8372722222222222,0.7997666666666666,0.8009111111111111,,0.861175,0.5091888888888889,0.8454625,0.8217,0.8073333333333333,,0.8029,,0.8346666666666667,0.8045111111111111,,0.8584133333333334,,0.5317125,
02-07,,0.7558285714285714,,,0.8602555555555556,,0.5501,,0.5681611111111111,0.8503111111111111,,,,0.42164444444444443,,0.8099555555555555,0.7948,0.6506111111111111,,0.8492222222222222,,,0.8427888888888889
02-08,,,,,,,,,0.8189363636363636,0.806425,0.8384611111111111,0.8485,,0.6716375,,,0.75978,,,0.8173222222222223,0.5691875,,0.8423
02-09,,,0.7789,,0.8220611111111111,,,,,0.8790666666666667,0.8885111111111111,,0.7595571428571428,0.8173571428571428,0.8663777777777778,0.7931777777777778,0.8087266666666667,0.6233666666666666,,0.8286571428571429,0.6145411764705883,0.8492444444444445,0.8251727272727273
02-10,,,,,,0.7471888888888889,,0.7914125,,,0.8007277777777777,0.8247777777777778,0.474,0.827664705882353,,,0.8109333333333333,0.7059222222222222,0.729111111111111,,0.4501,,
02-11,,,,,,0.8510333333333333,,,,0.8349277777777777,0.8218166666666666,,0.6689555555555555,,,0.7625,,,,,,,
02-12,,,,,,,,0.8092333333333334,,0.6762833333333333,0.7078111111111112,0.8368,0.79278,,,0.7102499999999999,,0.7853,0.8029444444444445,0.8470333333333333,,,0.8407571428571429
02-13,,,,0.8111,,0.7599333333333333,,,0.7659222222222222,0.6245277777777778,,,,0.8331111111111111,,0.8127,,,0.8243,0.8481333333333334,0.826,0.69746875,
02-14,,0.8536833333333333,,,,0.8508333333333333,0.8212444444444444,0.7960833333333334,0.8264888888888889,0.6391111111111111,,,,0.8287388888888889,,,0.7123,0.827525,,,,,
02-15,,0.8009444444444445,,0.6879,,0.8485833333333334,0.6146083333333333,,0.8053,0.6853444444444444,0.7938888888888889,,,0.8335333333333333,0.8018055555555555,0.6542714285714285,,,,,,0.8515888888888888,0.6814666666666667
02-16,,,0.8217125,,,,0.7681777777777777,,0.86080625,0.8702555555555556,0.8465111111111111,0.8460666666666666,0.8127722222222222,0.8782666666666666,,,0.7963777777777777,,,0.8294555555555555,0.5300111111111111,0.8263055555555555,0.8115
02-17,,,,,0.7937166666666666,,0.89625,,,0.8534416666666667,,0.5431166666666667,0.8296333333333333,,,0.8419,0.8343555555555555,0.2126625,,,,0.84528,0.7592222222222222
02-18,,,,0.7748,,,,,,,,0.8393,,,,0.816775,0.8657333333333334,0.8633555555555555,,,0.8240333333333334,0.8697055555555555,
02-19,,,,0.71374,,,,0.8303333333333334,,0.9318000000000001,,0.8900666666666667,0.8260555555555555,0.9104857142857142,,0.8444,,0.8279111111111112,,0.8418,0.8866722222222222,,
02-20,,,,,0.8456666666666667,0.8940733333333334,,,0.8547888888888889,,0.8043666666666667,0.6970333333333334,0.8660555555555556,,0.8855555555555555,0.8044,,0.8514555555555556,,,,0.6985111111111111,
02-21,,,,,,0.9163,0.8589555555555556,0.8703722222222222,0.8787888888888888,0.850375,,,0.8264,0.5907,,0.8666444444444444,,0.5207888888888889,0.768575,,0.8487142857142856,,
02-22,,,,,,0.9158222222222222,0.7870666666666667,0.8889277777777778,0.8708888888888889,0.86433,,0.6796666666666666,,,,,,0.6801333333333334,,0.7309666666666667,0.88805,0.8825111111111111,
02-23,,,,,0.82692,,,0.81585,,0.6024111111111111,0.87795,,,0.7617,,,,0.86744,0.8707,,0.881625,,0.8424222222222222
02-24,,,0.8896,0.8211333333333333,,,,0.7502777777777778,,,,,0.90236,0.76635,,0.8499875,,0.6444722222222222,0.7952111111111111,,,,
02-25,,,,,,,0.7596545454545455,,,,0.8730111111111111,0.8863333333333333,,,0.5916666666666667,,0.8818444444444444,0.5940111111111112,0.8967666666666667,,0.8727,,
02-26,,,,,,,0.8654,,,,,,0.8631,0.9030333333333334,,0.9031888888888889,0.8059444444444445,0.67214,0.816,0.8455428571428572,0.9159166666666667,,0.8379866666666667
02-27,0.6718999999999999,0.8744777777777778,,,0.8505,0.7741222222222223,0.8717055555555555,,0.86805,,0.8686777777777778,,,,0.608,0.8298333333333333,,,0.8816499999999999,0.801188888888889,0.8067388888888889,,0.8666333333333334
02-28,0.879625,,,,,,,0.8972833333333333,,,,0.8478,,0.88075,,0.6178666666666667,,0.6918444444444445,,0.9042,,,
02-29,0.8785666666666666,,,,0.85435625,,,,0.8865875,,,,,,,,,,,,,,
03-01,,,,,,,,0.8982388888888889,,0.7683,,,,,0.8358636363636364,,0.7034,,,0.8779555555555555,0.8953777777777777,,0.8807
03-02,0.6435,,,,,0.8981666666666667,,,,0.9359666666666666,0.8426277777777778,,,0.8789555555555556,,0.8797777777777778,0.8858875,0.8908,,,,,0.8724266666666667
03-03,0.5944666666666667,,,,,0.8884555555555556,,,,,,,,0.9318888888888889,0.5908444444444445,0.8749,,,0.9009611111111111,,0.9095727272727273,,0.8811
03-04,0.9189222222222222,,,,,,,,,0.9153222222222223,0.894935294117647,,,0.90140625,,0.6725,0.8844555555555556,,0.9021166666666667,,0.8941111111111111,,0.8852611111111112
03-05,0.8836666666666667,0.7850333333333334,,,,,,,,,,,,0.9018111111111111,,0.7151,0.8830888888888889,,0.7952416666666667,,,,
03-06,0.8644833333333333,,,,0.8771333333333333,,,,,,,,0.8541,,0.8474777777777778,,0.8747875,0.8561444444444445,,,,,
03-07,,,,,0.8447,,0.8109777777777777,,,,0.8860111111111111,0.8292777777777778,0.8662,,0.8579888888888889,,,0.525,0.8761444444444444,,,,
03-08,,,0.7253571428571429,0.7307666666666667,,,,,0.8922333333333333,,0.908825,0.9332444444444444,0.8603277777777778,,0.8476285714285715,,,,,0.8660888888888889,,,
03-09,,,0.9241,,0.6941333333333334,,,0.7552666666666666,,,,,0.8754285714285714,0.8897647058823529,,0.8104833333333333,0.6405666666666666,,0.9001333333333333,0.8881111111111111,0.8515666666666667,0.894,0.8648888888888889
03-10,,,,0.88005,,0.9281333333333334,0.89900625,,,,0.8980555555555555,,,,,0.9460111111111111,0.9019777777777778,,,0.87443,,0.8872625,
03-11,,,,,0.688675,,0.8793555555555556,,,,,,,0.8814222222222222,,0.9001666666666667,,0.7757375,0.8286,,0.8492,0.9051333333333333,
03-12,0.937975,,,0.9334166666666667,,,0.9067611111111111,0.8795777777777778,0.8636111111111111,,,,,0.9024588235294118,,,0.8781666666666667,0.7987142857142857,0.8821888888888889,0.8726944444444444,,,0.874
03-13,,0.6648777777777778,,,,,0.8065636363636364,,,,0.8889277777777778,0.82001875,,0.8924444444444445,0.8608,0.821,,,,0.90125,0.9202266666666666,0.9073333333333333,
03-14,,,0.8963,,,,,,0.8976222222222222,,,0.9027222222222222,,0.9189857142857143,,,0.9216117647058824,0.7064333333333334,,,0.8947375,0.8983857142857142,
03-15,,0.8797,,,,0.8763,0.9188111111111111,,,,0.8351888888888889,0.7634444444444445,0.8983444444444445,,0.8595333333333334,,0.9059111111111111,0.8456333333333333,,,,0.7481,0.8789
03-16,,,0.8570222222222222,,0.9627333333333333,0.9026333333333334,0.8928277777777778,,0.89465,0.8672733333333333,,,0.8928944444444444,,0.8585,,0.9085444444444445,,0.9575777777777777,0.9004176470588235,,0.8876999999999999,0.8430444444444445
03-17,,0.6628,,0.9047111111111111,0.92919375,0.9074882352941176,0.90225,,0.8926857142857143,0.90995,0.8958200000000001,,,,0.8647555555555556,,0.8616,,0.862475,0.8885705882352941,,0.8982444444444445,0.7276555555555555
03-18,0.9370111111111111,0.9423444444444444,0.8685428571428572,,0.91786,,0.9286058823529412,0.8711333333333333,0.6939666666666666,,,0.7872333333333333,0.8956416666666667,,0.8749,,,0.8717625,0.8940823529411764,,0.8760222222222223,0.804475,0.8758666666666667
03-19,0.8939111111111111,0.8527111111111111,,0.7463333333333333,0.8956,,0.9034,,,0.89728,0.9095222222222222,,0.8329722222222222,0.8384888888888888,,,,,0.8028888888888889,0.8902666666666667,,0.90045,
03-20,,,,0.534775,0.8977,,0.8752555555555556,,0.8973857142857143,0.8988916666666666,0.8988777777777778,0.9018066666666666,,0.9050222222222223,0.8200999999999999,,,,,,0.9039,,0.8684722222222222
03-21,,,,0.93648,0.8807777777777778,0.7667,0.8978166666666667,,0.8948666666666667,0.8964181818181818,0.8717888888888888,,,0.9024055555555556,0.834,0.9075533333333333,0.8756888888888889,,0.908575,0.9006111111111111,0.9082857142857144,0.9254777777777777,0.7474
03-22,,,,0.7221222222222222,,,0.8864222222222222,,,,0.90264,0.9027999999999999,,,0.8857888888888888,,0.9016888888888889,0.89929,,,,,
03-23,,,,,,,,0.9299388888888889,0.8477,,0.8988333333333334,0.9135722222222222,0.9007000000000001,,,,,0.8660142857142857,0.9713266666666667,,0.8713444444444445,,
03-24,,,,0.9012,,,0.869664705882353,,,0.9069444444444444,0.8517636363636364,0.9074888888888889,0.9152444444444444,,0.8580666666666666,,0.8961,,,,0.8995666666666666,0.8778666666666667,
03-25,,0.9016111111111111,,0.913,,,,,,0.8805444444444445,0.9216833333333333,,0.9147777777777778,,,,0.8793333333333333,,0.9034444444444445,,0.9093666666666667,0.9066555555555555,
03-26,,,,0.9033833333333333,,,,0.9056166666666666,,0.8922428571428571,0.9063,0.9198444444444445,,,0.8913,,0.8042666666666667,,,,0.8749444444444444,,
03-27,0.9261,0.8981,,0.8798,0.9025777777777778,,0.8401,0.8729125,0.8962666666666667,,0.9251933333333333,0.9089888888888888,0.9070944444444444,0.9152666666666667,,,0.8519944444444444,0.8463611111111111,,,,0.9751777777777778,0.8804166666666666
03-28,0.8881555555555556,,,0.90502,,0.9022833333333333,0.8976666666666666,,0.8904722222222222,0.90488125,0.9055277777777778,,0.9208333333333333,0.9167055555555556,0.8183,,0.9087277777777778,0.8733777777777778,,,,,0.8889333333333334
