Year,MO,OW,FO
2000,156.0,214.0,270.0
2001,144.0,204.0,266.0
2002,151.0,217.0,264.0
2003,153.0,,270.0
2004,151.0,223.0,279.0
2005,149.0,223.0,255.0
2006,142.0,206.0,
2007,150.0,211.0,282.0
2008,142.0,216.0,280.0
2009,150.0,216.0,269.0
2010,148.0,210.0,
2011,144.0,200.0,276.0
2012,141.0,209.0,271.0
2013,141.0,203.0,287.0
2014,146.0,223.0,273.0
2015,145.0,210.0,269.0
2016,,207.0,273.0
2017,135.0,200.0,271.0
2018,149.0,216.0,272.0
2019,139.0,209.0,284.0
2020,151.0,211.0,
2021,153.0,225.0,
2022,138.0,208.0,282.0
