,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Count
Year,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,23
Pond Inlet,201.0,211.0,214.0,211.0,,216.0,203.0,201.0,215.0,206.0,200.0,197.0,202.0,204.0,224.0,201.0,197.0,211.0,219.0,200.0,202.0,202.0,202.0,22
Kugluktuk,,,,,,,181.0,199.0,202.0,,204.0,,,186.0,,,,,,,193.0,,,6
Cambridge Bay,223.0,218.0,208.0,216.0,220.0,221.0,198.0,209.0,217.0,212.0,210.0,209.0,210.0,200.0,211.0,,203.0,,207.0,,214.0,209.0,206.0,20
Naujaat,,,,,,,247.0,241.0,251.0,,,,,,,,238.0,,,232.0,,,250.0,6
Coral Harbour,196.0,,197.0,189.0,199.0,189.0,183.0,204.0,189.0,195.0,188.0,190.0,196.0,196.0,191.0,,192.0,181.0,198.0,204.0,193.0,191.0,183.0,21
Alert,,,210.0,211.0,,,,,,,,,,,,,,,,,,,,2
Kangiqsualujjuaq,168.0,,180.0,161.0,150.0,154.0,144.0,171.0,151.0,172.0,155.0,163.0,158.0,156.0,165.0,160.0,171.0,150.0,186.0,148.0,175.0,126.0,166.0,22
Grise Fjord,,236.0,,223.0,241.0,216.0,210.0,219.0,219.0,208.0,204.0,195.0,212.0,219.0,221.0,204.0,205.0,224.0,224.0,222.0,204.0,212.0,218.0,21
Paulatuk,190.0,,189.0,190.0,197.0,,198.0,189.0,182.0,,180.0,188.0,181.0,190.0,184.0,185.0,181.0,181.0,184.0,182.0,192.0,191.0,183.0,20
Chesterfield Inlet,,,,188.0,206.0,191.0,,192.0,185.0,197.0,194.0,189.0,,182.0,199.0,194.0,185.0,182.0,201.0,204.0,196.0,185.0,186.0,18
Sachs Harbour,196.0,,193.0,196.0,194.0,174.0,186.0,177.0,189.0,192.0,177.0,173.0,183.0,162.0,185.0,,172.0,170.0,191.0,192.0,182.0,179.0,176.0,21
